confirm_id,design_id,condition,baseline_replicate,replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,final_population_hash
D0,A_high_2,selective,D0_r07,7,m016_affinity_rank_group,cf78b05538711825e0795152b13c3d2c15b5cd16f89c1995f7b006d8bc57c6a2,affinity_rank_group,intermediate,256,0.08883333697178379,0.3176800486041587,0,9.55542534722222,9de06deaf74ed1a0231c2abccaf45fb6b7e8692439e4f4361e6f3ac05e3a4e8c
D0,A_high_2,selective,D0_r07,7,m017_balanced_random_group,624eb3be9bfd0f1a3005c27c92924e9e5a273a32f646217df21900a4492271ec,balanced_random_group,intermediate,512,0.17619206179363034,0.3176800486041587,0,10.507222222222223,93e84b833e1e900810f26776bc3a0bcd254179d44a2b1aa91f0aa4145e5d89cb
D0,A_high_2,selective,D0_r07,7,m018_affinity_rank_group,24a6acb87a7364b0b1cbbe6fecc84df53e5243c78a06a6c6c4e7354b3e359435,affinity_rank_group,intermediate,512,0.18090874610144708,0.3176800486041587,0,10.603424479166668,06eea87abfc0fe1be3cedb91b8ce496c575e4dfc59f615e23d2021f3e122d762
D0,A_high_2,selective,D0_r07,7,m019_contiguous_substring,16cfd655e57fba08a658c1d50e1fe5976b2f905eee09ec260833cfb2b49d6f38,contiguous_substring,intermediate,4,0.0009868587952723247,0.3176800486041587,0,8.286063368055558,357cbb6cced12d3c4ddd14cf27633faaf3ef164eeb4c2c7695d8c57e69c4d6b8
D0,A_high_2,selective,D0_r07,7,m020_contiguous_substring,6fb076d21f3b26febc2e6a328628b3ea581ce0709de4263bbe675d61bdb74942,contiguous_substring,intermediate,4,0.0010444840145538816,0.3176800486041587,0,8.271831597222224,58b7265e1e4619259ce9d84aa84bc6ad1add905cfadaf8b10dd0d5c4cf19b19d
D0,A_high_2,selective,D0_r07,7,m021_contiguous_substring,3ac98b3bd2edbbfc3b4339ca0066047ccba8e1cfa0ce798acbd27bab5b87d8af,contiguous_substring,intermediate,4,0.0006944566879138155,0.3176800486041587,0,8.257790798611113,34457aec5a37c7008437a321873775b6ec9c479ace9e688794f9652688e92f11
D0,A_high_2,selective,D0_r07,7,m022_contiguous_substring,fc015e86e4e7f2c734c05fb1135856a6186a7b6e6f3079acc6d6c6e4aa7442e4,contiguous_substring,intermediate,4,0.000738441777357103,0.3176800486041587,0,8.217196180555554,7d887bf32093e324102a1141dbbaf1d39737b662018f5732220f09789749174e
D0,A_high_2,selective,D0_r07,7,m023_contiguous_substring,6d8bb74bcdeefe62988bcebfe3cdb7110ea14648c3393721f4a4095032ddf61b,contiguous_substring,intermediate,4,0.0007005329343327075,0.3176800486041587,0,8.243611111111113,67c37f500ea0d908f125fd8303cf98fdd596ed8091bb8f139ff8dd014c9f4576
D0,A_high_2,selective,D0_r07,7,m024_contiguous_substring,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,contiguous_substring,intermediate,16,0.004455790159234162,0.3176800486041587,0,8.320577256944446,0b8d0c1d9db2a4e538ca451a705ce9b46db4a3068e4dc3ba02e8647b6a76ce0f
D0,A_high_2,selective,D0_r07,7,m025_contiguous_substring,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,contiguous_substring,intermediate,16,0.005256024680077166,0.3176800486041587,0,8.309305555555556,bc96c9dd3331984da3be984ea5ecc1b8a42b69455fc1c3148939583d62901158
D0,A_high_2,selective,D0_r07,7,m026_contiguous_substring,5d3c5ea59a3a81c2ffdcfc7029fe0ab078b39be0217f1ee2611101845014273b,contiguous_substring,intermediate,16,0.00447801903474584,0.3176800486041587,0,8.300768229166668,fd81025e365463d141ac43cd25b0073bd3bbcabf9e34ac9edabe000bf3f0a817
D0,A_high_2,selective,D0_r07,7,m027_contiguous_substring,6edfbfdb62fbf79744d4ecfb6fe43de95b2133d87a10f24061ecc84297b1c267,contiguous_substring,intermediate,16,0.004094359387854874,0.3176800486041587,0,8.288611111111113,2064b272df3c12c9320deda8bc781adb8a82167bdc028fccd05d49e515992c7a
D0,A_high_2,selective,D0_r07,7,m028_contiguous_substring,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,contiguous_substring,intermediate,64,0.020000399763630567,0.3176800486041587,0,8.48525607638889,fdaf0219cee6b153a571e88365922bfd922c179b2f807f1a26c66c8b760d7a2b
