confirm_id,design_id,condition,baseline_replicate,replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,final_population_hash
D0,A_high_2,selective,D0_r03,3,actual,actual,unintervened,actual,1024,0.31971507952581435,0.31971507952581435,0,12.717252604166667,65ea18a177e61c17c7c5883b658aef12a31667e2423a45196449ceeb1df2d2b0
D0,A_high_2,selective,D0_r03,3,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.31971507952581435,0,8.261749131944445,6bd6a234b12c0a3be00293c8308f49c14fbab532d8b6d1b95c0e20c7761f9286
D0,A_high_2,selective,D0_r03,3,m001_balanced_random_group,f9a61013dcfd5168cfac382b0103ebc61175babf90ead3fb241727582f7ebff8,balanced_random_group,intermediate,2,0.0004722136079615482,0.31971507952581435,0,8.269804687499997,30b416517ce7f46875044e92ed4169dfd4828530e01e707ad22638a0e739d863
D0,A_high_2,selective,D0_r03,3,m002_affinity_rank_group,3f53151fb2f814971fd6c0128c5c0b7afe1b5cb5257e46a1db18b8ebc9946d94,affinity_rank_group,intermediate,2,0.0004859135394510769,0.31971507952581435,0,8.252352430555556,181593aeefe8e4c570450ead9462bdb3bf06e6e0ef29bc1781633fc3a908f8a3
D0,A_high_2,selective,D0_r03,3,m003_balanced_random_group,c3045d2c1c1e20ffe9a4bb2a2e96a1861dba82bdee39680a0c34776015233f77,balanced_random_group,intermediate,4,0.0007260905286176526,0.31971507952581435,0,8.283919270833332,d4b9492d5db77c830c9749ca7b147d6c626b8a751c1920552551725cfc776e75
D0,A_high_2,selective,D0_r03,3,m004_affinity_rank_group,92e56b0f11cdce879476507882d715f1eecc12de134fc3982530e28ffd4eba29,affinity_rank_group,intermediate,4,0.0012825072603846912,0.31971507952581435,0,8.244552951388888,14d12ba21be2a405b990a45a3c25dcee0133948e84b652c7b1cb37116510e589
D0,A_high_2,selective,D0_r03,3,m005_balanced_random_group,04a74209e8dcd69b7ec938b6492b48b960e41d4a73c85f733213da8532e73d49,balanced_random_group,intermediate,8,0.0026621632178807737,0.31971507952581435,0,8.293793402777778,49e853e5a7e48b39c5bf172aee8dd68c3b1976dc8294c27fad16c6c4599242be
D0,A_high_2,selective,D0_r03,3,m006_affinity_rank_group,0a19adabdd017fc722384804e89caf4ecf35837689486f63c24094087da5c2ba,affinity_rank_group,intermediate,8,0.0024876059612591777,0.31971507952581435,0,8.279253472222225,34f7d25517ab4ba4cd4c3ff170e7f6c65450543ab210ccef0ae501f70684c4a2
D0,A_high_2,selective,D0_r03,3,m007_balanced_random_group,848d2d075b0b38086c555c9d0d8524dccec4f14f30d66b4673f732303caf3b02,balanced_random_group,intermediate,16,0.005626619977194569,0.31971507952581435,0,8.275490451388889,3d8e8665169dd3880c2f765dd55b6d829abeb4575564182638f4d2f11d07dada
D0,A_high_2,selective,D0_r03,3,m008_affinity_rank_group,d176c8d0ee881709b5af7061b49578d8041bef9dde73ceb9e47e4dd86f7ee987,affinity_rank_group,intermediate,16,0.005303584751721785,0.31971507952581435,0,8.311970486111113,c1d12821746cee6841c11c1fd121771f6b18840f72c1b671db0dfd01a027640a
