condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index,n_information_permutations,state_path,rng_state_path,state_hash,trajectory_hash,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
control,0.1,10,control_p0.1_r10,11207777,194868408,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_10.npz,results/phase4_core/states/control/p0.1/rep_10.rng.json,b8cafed905c9db57a9d4ea3a1ce8cf43a262eeaad0d53514b8f0a6b9cb6ed786,a27f12712f40c876b99fbf1fb3f61d717003cbd26b9dcf2803c30d179c5a3a46,27.72421875,0.06095285454565718,0.06275722923927449,0.2849382082402262,0.28653870534018233,0.0027648597589791856,-0.001600497099956133
control,0.1,11,control_p0.1_r11,3905702619,907989072,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_11.npz,results/phase4_core/states/control/p0.1/rep_11.rng.json,410c0df4652070e35e5fb99531fe52727db2c5fdfe6add7e60bba59e3d2f216a,3814c0d52b6850f9ddd320a112bf6b3443203eb9374b799667a4b4ab32186d1a,27.25390625,0.06518348006706476,0.06236617461671019,0.28617369776523416,0.28620319629751456,0.0027710661766759278,-2.949853228040311e-05
control,0.1,12,control_p0.1_r12,908094753,560794355,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_12.npz,results/phase4_core/states/control/p0.1/rep_12.rng.json,75d72afbd42a0cfbb737d2ae1336a73dc9d06d49c6939b76e6cca9f124ad0fca,af7c2b34bc58419d4b585665e222e4076d37be92f6959ae4890b558c4ef30c05,26.778125,0.06251801400563908,0.062187863395576866,0.28393545859646596,0.28621917303409794,0.0029099094999500462,-0.0022837144376319785
control,0.1,13,control_p0.1_r13,3901032855,3418898315,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_13.npz,results/phase4_core/states/control/p0.1/rep_13.rng.json,4af5ac2fca3093a0a7362969ad333c45555836fc4790bea5e087d6f11381b326,2ddcb7db0c68790f0633690a29cf3254729d8dd56bd572320872605d942d3b31,27.35546875,0.06395301117290729,0.06394465785650438,0.2877566185676902,0.28636754085809696,0.0027417018541455412,0.0013890777095932338
control,0.1,14,control_p0.1_r14,2330218388,1584452455,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_14.npz,results/phase4_core/states/control/p0.1/rep_14.rng.json,1c7f7647cb45e838632f068c4aa900b425171b7df7147d761299b4c0aa78f8bc,329c0cf5dc4cbd9d019eccd9592f0d9fb293a9ddcfea1393362955d5bf727f2b,26.89453125,0.06098325667518385,0.06411547709167213,0.2827534680433859,0.28599649406206384,0.0029143472493536712,-0.0032430260186779303
control,0.1,15,control_p0.1_r15,1598088880,2195882858,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_15.npz,results/phase4_core/states/control/p0.1/rep_15.rng.json,835da214438773625a56253b825469172e5c840a35a719237158664feffcb952,ce267aec850b90ad0039cd82034615c1a034d737f80931cc3484e4a39a90daf0,27.14609375,0.061891466673813636,0.06367613891368924,0.28426420429080435,0.2858411730201013,0.0029159024415476133,-0.001576968729296968
control,0.1,16,control_p0.1_r16,1688825002,3941092899,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_16.npz,results/phase4_core/states/control/p0.1/rep_16.rng.json,ddfc08536ca1d5bfdcbadb46abacf09e22b9690de19c128da311b81756bc7dfb,0c6e77feb266c8e625f97d9f2e123741b0c937d6c6423577e7c9c405413d48d8,26.88984375,0.06618524926590275,0.06506422077676197,0.287774723012522,0.28555786968257446,0.0027822399201650884,0.0022168533299475324
control,0.1,17,control_p0.1_r17,1031904859,3856933157,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_17.npz,results/phase4_core/states/control/p0.1/rep_17.rng.json,02caef7122e9fc85dafae0f3e0d4aa4b5436b85a534df7048cb5ff029dd2538e,9f1ee419c495825b60100068fdcec119feaac6d7c21c2e2212cf54752dbee142,27.6671875,0.06191374464775011,0.06426891051747792,0.2866005535586039,0.2860182951186315,0.0027691040682599854,0.000582258439972394
control,0.1,18,control_p0.1_r18,3167947440,1915640228,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_18.npz,results/phase4_core/states/control/p0.1/rep_18.rng.json,8f330e7bbcfd10979489866f5414b6d8b6f31bec582811a96db4de1849325739,9f1134a68017aca05636da906a8212b30f85dc9674329e6648465f74aee9b485,26.90546875,0.062303214866493255,0.06273977035805886,0.28987572781388693,0.2857333210133379,0.002917513762740656,0.004142406800549003
control,0.1,19,control_p0.1_r19,4191381499,3585269626,2026073104,0,200,results/phase4_core/states/control/p0.1/rep_19.npz,results/phase4_core/states/control/p0.1/rep_19.rng.json,7343f7b12fc247c870f47dd7dcd9ebf56911b41a0eacb0b08254f23c1400c15f,5d0d50f2b84531ada8fa93255bcd07c2416288d2c3d57d890a82ae5c3a4c23b6,26.8859375,0.06111899064695653,0.061417181366330315,0.2813511028980044,0.2859394788563532,0.002924258669517532,-0.004588375958348767
