inherit_prob,bootstrap_index,condition,reach_fraction,median_semantic_information_among_reached,median_censored_lower_bound,mean_value_of_information,n_reached,n_censored
0.1,45,selective,1.0,0.5027282472047356,,5.712121310763893,20,0
0.1,46,control,1.0,0.0,,0.0,20,0
0.1,46,selective,1.0,0.5027282472047356,,5.699402126736112,20,0
0.1,47,control,1.0,0.0,,0.0,20,0
0.1,47,selective,1.0,0.5052880551339392,,5.714907769097225,20,0
0.1,48,control,1.0,0.0,,0.0,20,0
0.1,48,selective,1.0,0.5058065929463832,,5.716271701388889,20,0
0.1,49,control,1.0,0.0,,0.0,20,0
0.1,49,selective,1.0,0.5052880551339392,,5.751441514756948,20,0
0.1,50,control,1.0,0.0,,0.0,20,0
0.1,50,selective,1.0,0.5023178776119777,,5.705635308159726,20,0
0.1,51,control,1.0,0.0,,0.0,20,0
0.1,51,selective,1.0,0.5043373363640982,,5.719342447916665,20,0
0.1,52,control,1.0,0.0,,0.0,20,0
0.1,52,selective,1.0,0.502504676041442,,5.703139648437504,20,0
0.1,53,control,1.0,0.0,,0.0,20,0
0.1,53,selective,1.0,0.5030181172946071,,5.720690646701392,20,0
0.1,54,control,1.0,0.0,,0.0,20,0
0.1,54,selective,1.0,0.502504676041442,,5.69379340277778,20,0
0.1,55,control,1.0,0.0,,0.0,20,0
0.1,55,selective,1.0,0.5061268379073043,,5.7157790798611146,20,0
0.1,56,control,1.0,0.0,,0.0,20,0
0.1,56,selective,1.0,0.5036152853168294,,5.704823133680558,20,0
0.1,57,control,1.0,0.0,,0.0,20,0
0.1,57,selective,1.0,0.503325415226958,,5.727002495659725,20,0
0.1,58,control,1.0,0.0,,0.0,20,0
0.1,58,selective,1.0,0.5058811779131471,,5.712457682291669,20,0
0.1,59,control,1.0,0.0,,0.0,20,0
0.1,59,selective,1.0,0.5048558741765421,,5.754709743923614,20,0
0.1,60,control,1.0,0.0,,0.0,20,0
0.1,60,selective,1.0,0.5048558741765421,,5.73832194010417,20,0
0.1,61,control,1.0,0.0,,0.0,20,0
0.1,61,selective,1.0,0.5036152853168294,,5.719608832465279,20,0
0.1,62,control,1.0,0.0,,0.0,20,0
0.1,62,selective,1.0,0.5032049157240714,,5.692019314236115,20,0
0.1,63,control,1.0,0.0,,0.0,20,0
0.1,63,selective,1.0,0.5015560525297204,,5.7282752821180605,20,0
0.1,64,control,1.0,0.0,,0.0,20,0
0.1,64,selective,1.0,0.5029150456342,,5.714115125868057,20,0
0.1,65,control,1.0,0.0,,0.0,20,0
0.1,65,selective,1.0,0.5023178776119777,,5.725976562500001,20,0
0.1,66,control,1.0,0.0,,0.0,20,0
0.1,66,selective,1.0,0.5018435658561169,,5.695039605034727,20,0
0.1,67,control,1.0,0.0,,0.0,20,0
0.1,67,selective,1.0,0.502504676041442,,5.708553059895837,20,0
0.1,68,control,1.0,0.0,,0.0,20,0
0.1,68,selective,1.0,0.5052880551339392,,5.70429144965278,20,0
0.1,69,control,1.0,0.0,,0.0,20,0
0.1,69,selective,1.0,0.5015560525297204,,5.708413628472225,20,0
0.1,70,control,1.0,0.0,,0.0,20,0
0.1,70,selective,1.0,0.5023178776119777,,5.713197157118057,20,0
0.1,71,control,1.0,0.0,,0.0,20,0
0.1,71,selective,1.0,0.503905155406701,,5.699512261284724,20,0
0.1,72,control,1.0,0.0,,0.0,20,0
0.1,72,selective,1.0,0.5023178776119777,,5.713492296006949,20,0
0.1,73,control,1.0,0.0,,0.0,20,0
0.1,73,selective,1.0,0.5043373363640982,,5.735220811631947,20,0
0.1,74,control,1.0,0.0,,0.0,20,0
0.1,74,selective,1.0,0.5052880551339392,,5.7164876302083325,20,0
0.1,75,control,1.0,0.0,,0.0,20,0
0.1,75,selective,1.0,0.5058811779131471,,5.721679687500002,20,0
0.1,76,control,1.0,0.0,,0.0,20,0
0.1,76,selective,1.0,0.5052880551339392,,5.748334960937501,20,0
0.1,77,control,1.0,0.0,,0.0,20,0
0.1,77,selective,1.0,0.5029150456342,,5.704643554687503,20,0
0.1,78,control,1.0,0.0,,0.0,20,0
0.1,78,selective,1.0,0.5047695173214952,,5.7332237413194465,20,0
0.1,79,control,1.0,0.0,,0.0,20,0
0.1,79,selective,1.0,0.5043373363640982,,5.733538953993057,20,0
0.1,80,control,1.0,0.0,,0.0,20,0
0.1,80,selective,1.0,0.5036152853168294,,5.7248486328125034,20,0
0.1,81,control,1.0,0.0,,0.0,20,0
0.1,81,selective,1.0,0.505955762879911,,5.737912868923614,20,0
0.1,82,control,1.0,0.0,,0.0,20,0
0.1,82,selective,1.0,0.5021310791825133,,5.720927191840281,20,0
0.1,83,control,1.0,0.0,,0.0,20,0
0.1,83,selective,1.0,0.5053626401007031,,5.7446120876736115,20,0
0.1,84,control,1.0,0.0,,0.0,20,0
0.1,84,selective,1.0,0.5046405890534345,,5.724397243923614,20,0
0.1,85,control,1.0,0.0,,0.0,20,0
0.1,85,selective,1.0,0.5071521416439092,,5.706727430555557,20,0
0.1,86,control,1.0,0.0,,0.0,20,0
0.1,86,selective,1.0,0.5015560525297204,,5.71462348090278,20,0
0.1,87,control,1.0,0.0,,0.0,20,0
0.1,87,selective,1.0,0.5023178776119777,,5.686968858506947,20,0
0.1,88,control,1.0,0.0,,0.0,20,0
0.1,88,selective,1.0,0.5015471469611852,,5.72926432291667,20,0
0.1,89,control,1.0,0.0,,0.0,20,0
0.1,89,selective,1.0,0.5021310791825133,,5.7192675781250015,20,0
0.1,90,control,1.0,0.0,,0.0,20,0
0.1,90,selective,1.0,0.502504676041442,,5.712035047743059,20,0
0.1,91,control,1.0,0.0,,0.0,20,0
0.1,91,selective,1.0,0.5024407338783392,,5.714940863715277,20,0
0.1,92,control,1.0,0.0,,0.0,20,0
0.1,92,selective,1.0,0.5036152853168294,,5.712405598958334,20,0
0.1,93,control,1.0,0.0,,0.0,20,0
0.1,93,selective,1.0,0.5036152853168294,,5.702043185763893,20,0
0.1,94,control,1.0,0.0,,0.0,20,0
0.1,94,selective,1.0,0.5071484706290929,,5.722275933159721,20,0
0.1,95,control,1.0,0.0,,0.0,20,0
0.1,95,selective,1.0,0.502504676041442,,5.719614800347226,20,0
0.1,96,control,1.0,0.0,,0.0,20,0
0.1,96,selective,1.0,0.5030181172946071,,5.710998806423612,20,0
0.1,97,control,1.0,0.0,,0.0,20,0
0.1,97,selective,1.0,0.5029150456342,,5.717783745659725,20,0
0.1,98,control,1.0,0.0,,0.0,20,0
0.1,98,selective,1.0,0.5052880551339392,,5.731576605902779,20,0
0.1,99,control,1.0,0.0,,0.0,20,0
0.1,99,selective,1.0,0.503325415226958,,5.714437934027779,20,0
0.1,100,control,1.0,0.0,,0.0,20,0
0.1,100,selective,1.0,0.5058065929463832,,5.721779513888891,20,0
0.1,101,control,1.0,0.0,,0.0,20,0
0.1,101,selective,1.0,0.5015560525297204,,5.698176540798614,20,0
0.1,102,control,1.0,0.0,,0.0,20,0
0.1,102,selective,1.0,0.5029150456342,,5.719988064236114,20,0
0.1,103,control,1.0,0.0,,0.0,20,0
0.1,103,selective,1.0,0.5043373363640982,,5.719478624131947,20,0
0.1,104,control,1.0,0.0,,0.0,20,0
0.1,104,selective,1.0,0.503325415226958,,5.723504231770836,20,0
0.1,105,control,1.0,0.0,,0.0,20,0
0.1,105,selective,1.0,0.5041556344939127,,5.725202365451393,20,0
0.1,106,control,1.0,0.0,,0.0,20,0
0.1,106,selective,1.0,0.5029150456342,,5.7370046657986125,20,0
0.1,107,control,1.0,0.0,,0.0,20,0
0.1,107,selective,1.0,0.5047695173214952,,5.722039388020835,20,0
0.1,108,control,1.0,0.0,,0.0,20,0
0.1,108,selective,1.0,0.503325415226958,,5.71800238715278,20,0
0.1,109,control,1.0,0.0,,0.0,20,0
0.1,109,selective,1.0,0.503905155406701,,5.685260416666668,20,0
0.1,110,control,1.0,0.0,,0.0,20,0
0.1,110,selective,1.0,0.5058065929463832,,5.727419704861115,20,0
0.1,111,control,1.0,0.0,,0.0,20,0
0.1,111,selective,1.0,0.503905155406701,,5.738454318576389,20,0
0.1,112,control,1.0,0.0,,0.0,20,0
0.1,112,selective,1.0,0.503905155406701,,5.735823567708335,20,0
0.1,113,control,1.0,0.0,,0.0,20,0
0.1,113,selective,1.0,0.5023178776119777,,5.7241216362847265,20,0
0.1,114,control,1.0,0.0,,0.0,20,0
0.1,114,selective,1.0,0.503325415226958,,5.735369466145833,20,0
0.1,115,control,1.0,0.0,,0.0,20,0
