condition,viability_def,inherit_prob,method,analysis_role,count,mean,median,std,min,max
selective,excess_over_control,0.1,affinity_rank_group,primary,168,0.2692471943204359,0.17187499999999814,0.31324090472574806,-0.244140625,1.118326822916668
selective,excess_over_control,0.1,balanced_random_group,primary,168,0.2802453419518845,0.20638020833333032,0.2877234773771496,-0.2327799479166685,1.1169596354166629
selective,excess_over_control,0.1,kmeans_profile,diagnostic_function_preserving,168,3.7449333069816464,4.338134765625,1.6340471568491763,-0.1041992187500007,5.620019531249998
selective,excess_over_control,0.1,prefix_group,primary,168,0.5075179811507937,0.3001464843749986,0.6158748225273047,-0.1772786458333328,2.049544270833337
selective,excess_over_control,0.2,affinity_rank_group,primary,168,0.31247016059027727,0.22381184895833425,0.31498750811594484,-0.1678059895833321,1.2350260416666643
selective,excess_over_control,0.2,balanced_random_group,primary,168,0.32440553695436447,0.23040364583333245,0.3104511330357734,-0.0889322916666657,1.2436197916666671
selective,excess_over_control,0.2,kmeans_profile,diagnostic_function_preserving,168,3.820673091827876,4.398828125,1.607333153315733,-0.0202148437500007,5.61787109374999
selective,excess_over_control,0.2,prefix_group,primary,168,0.5387298099578368,0.2989095052083321,0.6189804738446321,-0.1187825520833314,2.1656249999999986
selective,excess_over_control,0.3,affinity_rank_group,primary,168,0.2592949761284712,0.1499837239583321,0.3039078450346643,-0.2439453125000028,1.080468750000005
selective,excess_over_control,0.3,balanced_random_group,primary,168,0.2662797231522807,0.17667643229166602,0.3006195778117622,-0.1942708333333342,1.2340820312500045
selective,excess_over_control,0.3,kmeans_profile,diagnostic_function_preserving,168,3.729633634052578,4.316634114583337,1.62275729059302,-0.1544921875000042,5.551562500000006
selective,excess_over_control,0.3,prefix_group,primary,168,0.483312794518848,0.2489095052083314,0.6133684141952919,-0.2205078124999993,2.0624348958333343
selective,excess_over_control,0.4,affinity_rank_group,primary,168,0.24215204148065486,0.14471028645833423,0.31553331971935844,-0.1740885416666699,1.22434895833333
selective,excess_over_control,0.4,balanced_random_group,primary,168,0.24652855282738106,0.15224609375000314,0.31059157164042006,-0.1553385416666621,1.216145833333332
selective,excess_over_control,0.4,kmeans_profile,diagnostic_function_preserving,168,3.730833992125496,4.279833984374999,1.6112865131872427,-0.173828125,5.613476562500001
selective,excess_over_control,0.4,prefix_group,primary,168,0.4693925161210322,0.2442057291666621,0.6067696244272424,-0.183463541666665,2.123567708333333
selective,excess_over_control,0.5,affinity_rank_group,primary,168,0.2376044379340279,0.17431640624999994,0.317972306138294,-0.3153320312500014,1.1290039062499986
selective,excess_over_control,0.5,balanced_random_group,primary,168,0.25334608289930544,0.1770507812500028,0.3146215234883891,-0.3141927083333371,1.2072265624999972
selective,excess_over_control,0.5,kmeans_profile,diagnostic_function_preserving,168,3.7253191266741075,4.293798828125002,1.6178344207190531,-0.2395833333333357,5.586458333333329
selective,excess_over_control,0.5,prefix_group,primary,168,0.463099888392857,0.21105143229166673,0.6192938547071596,-0.2270833333333328,2.134798177083333
selective,excess_over_control,0.6,affinity_rank_group,primary,168,0.2557830326140879,0.16339518229166744,0.3344500445428762,-0.3061848958333364,1.3437825520833364
selective,excess_over_control,0.6,balanced_random_group,primary,168,0.25928819444444473,0.17469075520833138,0.3256030240952483,-0.201269531249995,1.1779296875000007
selective,excess_over_control,0.6,kmeans_profile,diagnostic_function_preserving,168,3.7619966052827385,4.319433593750004,1.6400919945555168,-0.1919921874999985,5.707877604166669
selective,excess_over_control,0.6,prefix_group,primary,168,0.4850690569196431,0.23644205729166856,0.6201266319200168,-0.1324218750000021,2.1125000000000007
selective,excess_over_control,0.7,affinity_rank_group,primary,168,0.24602515811011955,0.1411132812500017,0.314093980532861,-0.2682617187499971,1.1992838541666693
selective,excess_over_control,0.7,balanced_random_group,primary,168,0.26022057911706425,0.17241210937500107,0.3091392507994629,-0.1478190104166685,1.2021809895833364
selective,excess_over_control,0.7,kmeans_profile,diagnostic_function_preserving,168,3.7941793774801598,4.3234212239583325,1.669345366796744,-0.1430013020833342,5.725911458333332
selective,excess_over_control,0.7,prefix_group,primary,168,0.489563763330854,0.21178385416667028,0.6334599226071299,-0.1493164062499943,2.17454427083333
selective,excess_over_control,0.8,affinity_rank_group,primary,168,0.20715196397569327,0.10722656249999571,0.32321447864303837,-0.2828450520833279,1.2467447916666643
selective,excess_over_control,0.8,balanced_random_group,primary,168,0.23151254805307434,0.11549479166666285,0.3261084546225534,-0.2185546875000099,1.1715820312499972
selective,excess_over_control,0.8,kmeans_profile,diagnostic_function_preserving,168,3.809502495659721,4.361718750000003,1.7067540624317508,-0.1242513020833371,5.981608072916668
selective,excess_over_control,0.8,prefix_group,primary,168,0.4396406870039668,0.17521158854166424,0.6342259618851015,-0.244270833333335,2.117871093749997
selective,excess_over_control,0.9,affinity_rank_group,primary,168,0.346072436135912,0.22522786458333138,0.36934331615738397,-0.0989257812499992,1.4732096354166655
selective,excess_over_control,0.9,balanced_random_group,primary,168,0.3629528227306546,0.26000976562500355,0.34604761097307385,-0.1048177083333357,1.5278971354166655
selective,excess_over_control,0.9,kmeans_profile,diagnostic_function_preserving,168,4.2862758091517845,4.85758463541667,1.9215667953860431,-0.0940755208333357,7.929264322916662
selective,excess_over_control,0.9,prefix_group,primary,168,0.5833505781870034,0.2975423177083343,0.6812178978623639,-0.0805013020833342,2.429654947916664
selective,excess_over_control,1.0,affinity_rank_group,primary,168,0.290380084325397,0.14617513020833425,0.5345189995380917,-0.5598632812499957,3.1789062500000043
selective,excess_over_control,1.0,balanced_random_group,primary,168,0.4774146670386907,0.22553710937500243,0.6500355101474281,-0.4469401041666678,2.8664713541666664
selective,excess_over_control,1.0,kmeans_profile,diagnostic_function_preserving,168,6.958345927889385,7.714208984375002,3.2275620948815678,-0.21728515625,13.051334635416662
selective,excess_over_control,1.0,prefix_group,primary,168,0.9263747442336306,0.44212239583333357,1.257357232630145,-0.8205403645833371,4.835253906249999
control,excess_over_control,0.1,affinity_rank_group,primary,168,-0.006002952938988308,-0.0022135416666664,0.10471186494092607,-0.2911458333333314,0.2701497395833314
control,excess_over_control,0.1,balanced_random_group,primary,168,-0.0025260804191470122,-0.00499674479166675,0.11404576775244413,-0.2560221354166643,0.2916992187500007
control,excess_over_control,0.1,kmeans_profile,diagnostic_function_preserving,168,-0.010438368055556152,-0.00444335937500275,0.10879000798547298,-0.3037760416666657,0.2574869791666643
control,excess_over_control,0.1,prefix_group,primary,168,-0.011001829117063855,-0.0130696614583314,0.10294554121828772,-0.3033203125000021,0.2452148437500056
control,excess_over_control,0.2,affinity_rank_group,primary,168,0.03761083209325369,0.029817708333329248,0.12287930192558494,-0.2596679687499943,0.3709960937499978
control,excess_over_control,0.2,balanced_random_group,primary,168,0.036807105654761516,0.0519205729166678,0.1259821554544079,-0.2443359374999971,0.3202148437500014
control,excess_over_control,0.2,kmeans_profile,diagnostic_function_preserving,168,0.04374631851438472,0.0418457031250003,0.12393743816839776,-0.3169270833333293,0.3415364583333335
control,excess_over_control,0.2,prefix_group,primary,168,0.04210263206845203,0.0568847656250035,0.12231124131570055,-0.27099609375,0.3007486979166636
control,excess_over_control,0.3,affinity_rank_group,primary,168,0.005790783110119116,0.007373046875004551,0.11666521132043552,-0.2729817708333328,0.3289062499999957
control,excess_over_control,0.3,balanced_random_group,primary,168,0.004334271143353017,0.00460611979167065,0.11424656344520057,-0.3225585937499993,0.3469726562499957
control,excess_over_control,0.3,kmeans_profile,diagnostic_function_preserving,168,0.0008663116939486661,-0.00488281249999995,0.11881000386191057,-0.2854492187499993,0.3255859374999978
control,excess_over_control,0.3,prefix_group,primary,168,0.00205078125000006,0.00198567708333635,0.12000261051175076,-0.2722656249999993,0.3335286458333293
control,excess_over_control,0.4,affinity_rank_group,primary,168,-0.017491900731646446,-0.01920572916666425,0.12976097193423106,-0.3123046874999957,0.2721354166666607
control,excess_over_control,0.4,balanced_random_group,primary,168,-0.015703473772321258,-0.01352539062499675,0.1358254018354592,-0.3684895833333321,0.3666666666666636
control,excess_over_control,0.4,kmeans_profile,diagnostic_function_preserving,168,-0.0073224748883920126,0.0011881510416653501,0.13120385643540178,-0.4110351562500014,0.2419596354166664
control,excess_over_control,0.4,prefix_group,primary,168,-0.0051864381820435,-0.011979166666669951,0.13846671922036333,-0.3616536458333321,0.3564453125
control,excess_over_control,0.5,affinity_rank_group,primary,168,0.034161667596726154,0.022314453125007398,0.10256148059511526,-0.1994466145833335,0.3142578124999993
control,excess_over_control,0.5,balanced_random_group,primary,168,0.02251906622023832,0.026236979166668548,0.11367708248297256,-0.2638671874999971,0.3169596354166657
control,excess_over_control,0.5,kmeans_profile,diagnostic_function_preserving,168,0.025065879216270032,0.02036132812499855,0.106445996810581,-0.2637695312499986,0.2724283854166636
control,excess_over_control,0.5,prefix_group,primary,168,0.03831167069692461,0.0279622395833332,0.10638986438845435,-0.2033854166666628,0.3013020833333364
control,excess_over_control,0.6,affinity_rank_group,primary,168,-0.03070068359374993,-0.0216634114583342,0.10393769216519362,-0.2674804687499978,0.1911783854166664
control,excess_over_control,0.6,balanced_random_group,primary,168,-0.039502534412202646,-0.0338704427083342,0.10821225337375863,-0.3440755208333321,0.1945963541666628
control,excess_over_control,0.6,kmeans_profile,diagnostic_function_preserving,168,-0.0204781668526787,-0.0135091145833303,0.1116192938035699,-0.307975260416665,0.2523111979166614
control,excess_over_control,0.6,prefix_group,primary,168,-0.027498566158234254,-0.02506510416666605,0.10935968644799333,-0.318489583333335,0.2472330729166607
control,excess_over_control,0.7,affinity_rank_group,primary,168,0.036663721478175405,0.03972981770833605,0.10931371295087074,-0.279296875,0.3180338541666643
control,excess_over_control,0.7,balanced_random_group,primary,168,0.019065057663691123,0.0190104166666671,0.11209295395901746,-0.3220377604166664,0.2852864583333385
control,excess_over_control,0.7,kmeans_profile,diagnostic_function_preserving,168,0.01576877170138982,0.01093749999999885,0.10826662637113936,-0.2595703125000028,0.2890625
control,excess_over_control,0.7,prefix_group,primary,168,0.03402409629216341,0.046630859374998196,0.11479504920066262,-0.3174153645833364,0.3105794270833364
control,excess_over_control,0.8,affinity_rank_group,primary,168,-0.05561891586061564,-0.058919270833335646,0.11429338806106716,-0.3233723958333421,0.2477213541666678
control,excess_over_control,0.8,balanced_random_group,primary,168,-0.05496322389633018,-0.04965820312499855,0.12002336728058378,-0.3551757812500007,0.3989908854166728
control,excess_over_control,0.8,kmeans_profile,diagnostic_function_preserving,168,-0.05328601655506054,-0.0490234374999989,0.12360976196663895,-0.3145182291666692,0.3270182291666685
control,excess_over_control,0.8,prefix_group,primary,168,-0.05623023623512005,-0.05875651041666605,0.11451522927080647,-0.3358723958333378,0.2457356770833314
control,excess_over_control,0.9,affinity_rank_group,primary,168,0.03811267671130985,0.02561848958333705,0.13286019528340093,-0.3094075520833286,0.394628906249995
control,excess_over_control,0.9,balanced_random_group,primary,168,0.0340151832217268,0.02115885416666955,0.1241489579039901,-0.2449218749999993,0.3732096354166678
control,excess_over_control,0.9,kmeans_profile,diagnostic_function_preserving,168,0.024844602554564325,0.01798502604166955,0.12471210118147483,-0.4052083333333307,0.3789713541666621
control,excess_over_control,0.9,prefix_group,primary,168,0.025714208209326055,0.0241048177083307,0.11638565624071913,-0.30250651041667,0.3651367187499978
control,excess_over_control,1.0,affinity_rank_group,primary,168,0.0008015950520829771,0.0108235677083321,0.11470946103364629,-0.2531250000000007,0.2975911458333264
control,excess_over_control,1.0,balanced_random_group,primary,168,-0.01238161117311527,-0.00659179687499815,0.10779493607494596,-0.2794921875000007,0.270898437500005
control,excess_over_control,1.0,kmeans_profile,diagnostic_function_preserving,168,0.008978562127976012,0.0079427083333314,0.10479684295365782,-0.3214843750000042,0.2610677083333286
control,excess_over_control,1.0,prefix_group,primary,168,0.005269562251983874,0.005843098958333549,0.10319762057839019,-0.2393880208333314,0.3036783854166671
selective,mean_future_fitness,0.1,affinity_rank_group,primary,168,27.391046045696925,27.274593098958334,0.30942337073702536,27.0080078125,28.40384114583333
selective,mean_future_fitness,0.1,balanced_random_group,primary,168,27.405885532924106,27.304931640625,0.28905944499399144,26.967740885416664,28.36787109375
selective,mean_future_fitness,0.1,kmeans_profile,diagnostic_function_preserving,168,30.869856964595733,31.42102864583333,1.6311244904072533,26.974576822916664,32.670345052083334
selective,mean_future_fitness,0.1,prefix_group,primary,168,27.63729984343998,27.366227213541663,0.6004032209744186,27.070963541666668,29.23518880208333
selective,mean_future_fitness,0.2,affinity_rank_group,primary,168,27.396185012090776,27.285270182291665,0.2958578713632958,26.96910807291667,28.26904296875
selective,mean_future_fitness,0.2,balanced_random_group,primary,168,27.4096431671627,27.299820963541663,0.29896877531375604,27.024609375,28.349088541666664
selective,mean_future_fitness,0.2,kmeans_profile,diagnostic_function_preserving,168,30.899019562251986,31.476855468749996,1.5989976460423714,27.0869140625,32.67994791666667
selective,mean_future_fitness,0.2,prefix_group,primary,168,27.62199939546131,27.351432291666665,0.6155445197621505,27.08382161458333,29.173307291666664
selective,mean_future_fitness,0.3,affinity_rank_group,primary,168,27.40752766927083,27.301741536458337,0.29864498681723395,27.027734375,28.34833984375
