inherit_prob,min,median,max,mean,std,condition,viability_def
0.4,0.0,0.0,0.0,0.0,0.0,selective,negative_fitness_distribution_entropy
0.5,0.0,0.0,0.0,0.0,0.0,selective,negative_fitness_distribution_entropy
0.6,0.0,0.0,0.0,0.0,0.0,selective,negative_fitness_distribution_entropy
0.7,0.0,0.0,0.0,0.0,0.0,selective,negative_fitness_distribution_entropy
0.8,0.0,0.0,0.0,0.0,0.0,selective,negative_fitness_distribution_entropy
0.9,0.0,0.0,0.0,0.0,0.0,selective,negative_fitness_distribution_entropy
1.0,0.0,0.0,0.000723896728054,6.0324727337833334e-05,0.0002089709854037331,selective,negative_fitness_distribution_entropy
0.1,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.2,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.3,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.4,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.5,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.6,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.7,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.8,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.9,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
1.0,0.0,0.0,0.0,0.0,0.0,control,negative_fitness_distribution_entropy
0.1,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.2,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.3,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.4,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.5,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.6,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.7,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.8,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.9,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
1.0,0.0,0.0,0.0,0.0,0.0,selective,negative_local_metabolite_configuration_entropy
0.1,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.2,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.3,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.4,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.5,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.6,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.7,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.8,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.9,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
1.0,0.0,0.0,0.0,0.0,0.0,control,negative_local_metabolite_configuration_entropy
0.1,0.0,0.0,0.0,0.0,0.0,selective,negative_adjacency_state_entropy
0.2,0.0,0.0,0.0,0.0,0.0,selective,negative_adjacency_state_entropy
0.3,0.0,0.0,0.0,0.0,0.0,selective,negative_adjacency_state_entropy
