condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
control,0.1,16,control_p0.1_r16,actual,actual,unintervened,actual,1024,0.287774723012522,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,8.008566259537293e-17,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,9.18803238170784e-05,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0007828915335921785,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.0022019979013431917,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.0039627603237684435,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.006395926790707905,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.013861220219729842,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.032167222548926885,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
control,0.1,16,control_p0.1_r16,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.06413749403813138,0.287774723012522,0,27.17263454861111,"[26.67890625, 26.815625, 27.12421875, 27.44296875, 27.0796875, 26.678125, 26.99140625, 27.9828125, 26.97109375, 26.68515625, 26.78046875, 27.040625, 26.6484375, 27.784375, 27.01875, 27.009375, 27.4, 27.85625, 27.8015625, 26.5984375, 27.5140625, 26.8703125, 26.42578125, 27.86640625, 27.04765625, 27.2359375, 26.978125, 27.5703125, 26.50625, 27.4640625, 27.378125, 27.3109375, 27.7671875, 27.0640625, 27.22734375, 27.6]",edf78d8577b877c7047051f40516540861fc808db0812027ce0c2aa63d5bf015,2026073104,control_p0.1_r16|0
