condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
selective,0.7,0,selective_p0.7_r00,actual,actual,unintervened,actual,1024,0.49820718893542115,0.49820718893542115,0,32.87068142361112,"[32.73515625, 32.72734375, 32.97109375, 32.071875, 33.246875, 32.42421875, 33.08359375, 33.3078125, 33.23046875, 33.63515625, 32.978125, 33.5515625, 33.22890625, 32.9109375, 32.5890625, 32.4515625, 31.76484375, 32.42109375, 32.74140625, 33.56015625, 33.36328125, 32.93125, 33.1640625, 33.75390625, 32.87890625, 32.43671875, 32.30703125, 32.34375, 32.68359375, 32.1, 33.02734375, 33.021875, 32.8375, 32.64609375, 33.13828125, 33.0796875]",b127578d19a6134fcf3fd235dcd92c0d191684cc4a7c376544ca8ee33ae1eee0,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.49820718893542115,0,27.240624999999998,"[26.8546875, 27.62109375, 27.58203125, 27.31484375, 27.54609375, 26.80078125, 27.265625, 27.88359375, 26.990625, 27.11171875, 27.29609375, 28.30703125, 27.1359375, 26.909375, 26.4796875, 27.14609375, 27.453125, 27.4453125, 27.41015625, 26.2484375, 27.0265625, 26.97890625, 27.36171875, 27.559375, 26.49140625, 27.378125, 26.88046875, 26.828125, 26.7171875, 27.440625, 27.8765625, 27.40859375, 27.79453125, 26.5765625, 28.21015625, 27.33125]",40ea9e6257d796994ecb6f67e6e3a700b28ab491a0f2af78bcca4f0c665cfdba,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.00024969526872675946,0.49820718893542115,0,27.231293402777776,"[26.85546875, 27.59140625, 27.609375, 27.26484375, 27.3421875, 26.9640625, 27.19296875, 27.77265625, 26.92890625, 27.14296875, 27.375, 28.28984375, 27.14765625, 26.99296875, 26.49296875, 27.11328125, 27.415625, 27.5671875, 27.38203125, 26.2328125, 26.8234375, 26.94296875, 27.25546875, 27.53671875, 26.56796875, 27.20546875, 26.87890625, 26.98671875, 26.8015625, 27.4046875, 27.8359375, 27.45234375, 27.76484375, 26.715625, 28.1484375, 27.33125]",a36ff1b99f4a75b05bfeddccd582f491c8e53104bf86e0326e2b33d19d8953e5,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0018393565760210166,0.49820718893542115,0,27.220876736111112,"[26.7171875, 27.690625, 27.5890625, 27.22578125, 27.45, 26.753125, 27.23046875, 27.96484375, 27.0875, 27.09453125, 27.284375, 28.2265625, 27.05859375, 27.00390625, 26.4625, 27.29453125, 27.2734375, 27.18125, 27.29765625, 26.3421875, 27.18125, 27.27578125, 27.29609375, 27.39296875, 26.4859375, 27.28828125, 26.99375, 26.7796875, 26.78984375, 27.54765625, 27.59453125, 27.2828125, 27.728125, 26.6453125, 28.23671875, 27.2046875]",a15aedb8eef88e88f0126f9d8f7023d871bbbb743fa78cb28f26ac5b886b5b3a,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.004633571968804772,0.49820718893542115,0,27.25668402777778,"[27.0546875, 27.58125, 27.61875, 26.98828125, 27.7765625, 26.83125, 27.28984375, 27.95859375, 27.00625, 27.3390625, 27.478125, 28.03984375, 27.0625, 26.88515625, 26.42109375, 27.4859375, 27.38046875, 27.40703125, 27.03046875, 26.415625, 27.0390625, 26.73671875, 27.28359375, 27.746875, 26.496875, 27.4703125, 26.99140625, 26.93203125, 26.859375, 27.5921875, 27.7203125, 27.2984375, 27.81875, 26.56328125, 28.39609375, 27.24453125]",55bce87bb92babdbbe1cc52b591060efde20a16beaec9ea1c646da39d094c9b1,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.00716540569943184,0.49820718893542115,0,27.365798611111114,"[26.88515625, 27.625, 27.790625, 27.2171875, 27.4453125, 27.228125, 27.42421875, 28.04609375, 27.5140625, 27.57421875, 27.72890625, 28.36796875, 27.365625, 27.40546875, 26.35546875, 27.65546875, 27.19296875, 27.84921875, 27.7171875, 26.1859375, 27.02109375, 27.35078125, 27.26328125, 27.3859375, 26.4734375, 27.39140625, 26.93984375, 26.9765625, 26.7734375, 27.690625, 28.0046875, 27.1203125, 28.003125, 26.7078125, 28.16640625, 27.32578125]",b385cf66c00cecd894a4ca26d5cf7dbb0fad024be6c9ddaac70c039535059f39,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.014757918680766747,0.49820718893542115,0,27.314778645833332,"[27.1953125, 27.853125, 28.1640625, 27.22109375, 27.57890625, 26.7375, 27.221875, 27.98671875, 27.22578125, 26.8625, 27.5296875, 28.36484375, 27.3078125, 27.2046875, 26.771875, 26.8546875, 27.41171875, 27.57109375, 27.00625, 26.5625, 27.25625, 27.09765625, 27.3, 27.0140625, 27.028125, 27.46953125, 27.2953125, 27.340625, 27.103125, 27.48828125, 27.44609375, 27.2484375, 27.675, 26.45546875, 28.05859375, 27.4234375]",c8f13629e6d8ec6de828c58fb29e1c7e327a70362a9e4f61df7f5926983ff531,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.03103059279230307,0.49820718893542115,0,27.63532986111111,"[27.30234375, 27.56171875, 28.13984375, 26.99140625, 27.69765625, 27.1171875, 27.42421875, 28.196875, 27.65703125, 27.37578125, 27.878125, 28.4296875, 27.3421875, 27.65859375, 26.54921875, 27.93359375, 27.39921875, 28.159375, 27.86875, 26.821875, 27.45546875, 27.21328125, 27.7109375, 28.2046875, 27.6953125, 28.0953125, 27.34296875, 27.84453125, 27.26171875, 27.89765625, 27.840625, 27.16640625, 28.36640625, 27.565625, 28.01796875, 27.68828125]",a276635c42bb0568b1c890c0605d41e958ca0932cb0863bc2b9e67a22be8be13,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.07241990135435161,0.49820718893542115,0,28.126801215277773,"[28.22734375, 28.3703125, 28.5203125, 28.36640625, 28.79296875, 28.24765625, 28.83828125, 28.8421875, 28.0921875, 28.54453125, 28.04140625, 28.46953125, 27.84765625, 28.16875, 27.55703125, 28.1171875, 27.671875, 27.946875, 28.48359375, 27.353125, 27.996875, 27.49375, 27.83125, 28.353125, 28.09140625, 28.09140625, 28.03359375, 27.534375, 27.31796875, 28.55, 28.375, 28.025, 28.10859375, 27.109375, 28.82578125, 28.328125]",9f25b32fefe0b5e5008e9cd519848abf9b3ed28b835b8835767461a4d0b49f6e,2026073104,selective_p0.7_r00|0
selective,0.7,0,selective_p0.7_r00,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.14172096555419772,0.49820718893542115,0,29.10355902777778,"[28.88671875, 29.44296875, 29.5625, 28.25390625, 29.31953125, 28.7125, 28.9265625, 29.4359375, 29.3703125, 28.890625, 29.03828125, 29.10703125, 28.9375, 28.76796875, 29.246875, 28.9421875, 28.825, 29.51640625, 29.44921875, 28.72421875, 29.03984375, 29.21328125, 29.3578125, 28.9234375, 28.60390625, 29.21640625, 28.6125, 29.05625, 28.95546875, 28.8515625, 29.6453125, 29.171875, 29.31328125, 29.496875, 29.90546875, 29.00859375]",90d6dd2556c4201bacfb59bd140bd5a82e1b6fe35cbba41a33a4f1be8e36b4de,2026073104,selective_p0.7_r00|0
