condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
control,0.7,0,control_p0.7_r00,actual,actual,unintervened,actual,1024,0.27382711460012005,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,8.008566259537292e-17,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.000298296024452707,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0008718075167156908,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.0016541294325590021,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.00411343110014748,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.00728303550748095,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.015581830412910709,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.030421398889402408,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
control,0.7,0,control_p0.7_r00,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.0654337603329061,0.27382711460012005,0,27.241775173611114,"[27.553125, 27.2328125, 27.56953125, 27.646875, 27.51953125, 27.7203125, 26.63828125, 27.64375, 27.15078125, 27.865625, 26.76328125, 27.1890625, 27.34140625, 27.35859375, 26.440625, 26.93046875, 27.828125, 26.9453125, 26.37109375, 27.29609375, 26.8671875, 26.67265625, 27.6859375, 26.70546875, 26.52890625, 26.96875, 27.48515625, 27.29375, 27.43828125, 27.53359375, 27.83984375, 27.02734375, 27.0, 27.64296875, 27.76328125, 27.24609375]",4eb407b1ec1902f5aa2facfe00a12969188dd439e671c03187de7c33592f0ddc,2026073104,control_p0.7_r00|0
