condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
control,0.4,15,control_p0.4_r15,actual,actual,unintervened,actual,1024,0.2820490969702867,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.00018336729513639987,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0005993653763040941,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.0019219242303506754,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.004150372296365588,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.008132043940767216,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.016214555207529704,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.031727268264400324,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
control,0.4,15,control_p0.4_r15,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.06316846063224062,0.2820490969702867,0,27.116775173611117,"[25.96875, 26.815625, 27.3921875, 27.65078125, 27.71796875, 26.8859375, 27.34765625, 27.66015625, 27.4125, 27.3609375, 26.81171875, 26.95, 27.2125, 26.98203125, 27.3234375, 27.37265625, 27.09609375, 27.7015625, 26.4609375, 27.26171875, 27.15546875, 26.84296875, 26.496875, 26.7484375, 27.1203125, 26.77890625, 26.64921875, 26.8375, 27.37109375, 27.28515625, 27.390625, 26.52578125, 27.45234375, 27.36015625, 27.62734375, 27.1765625]",47f52df2ccd58c80765490c2f1c40b26b01106da896de46f444d1b9b1c6459c0,2026073104,control_p0.4_r15|0
