condition,inherit_prob,replicate,baseline_replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,mean_fitness_trajectory_json,final_population_hash,continuation_root_seed,continuation_stream_key
control,0.5,16,control_p0.5_r16,actual,actual,unintervened,actual,1024,0.2855923487030935,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m000_constant,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,1,0.0,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m001_balanced_random_group,74484e9508b33b029e993a9e9ccafe4f01d96055374e557f6aa5a37d25bd9c9f,balanced_random_group,intermediate,2,0.00040563833704230714,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m002_balanced_random_group,e96a93c5fa6154fe18dcd30eb7bdbc3a6e3320a989da83ae67372a9adf58cbba,balanced_random_group,intermediate,4,0.0008209887361775521,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m003_balanced_random_group,14f0105f9e20916e897f4df17fdec0d896085dd5f5320e129bc322820142f8a6,balanced_random_group,intermediate,8,0.001962979783854099,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m004_balanced_random_group,bb2ba2d5c103ddf6a98d341d94ebe51e88d622a6cb807898cdf9fd63b491a80f,balanced_random_group,intermediate,16,0.0029732040545910722,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m005_balanced_random_group,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,32,0.007523409031452263,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m006_balanced_random_group,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,64,0.015945676090984292,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m007_balanced_random_group,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,128,0.0317177325720822,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
control,0.5,16,control_p0.5_r16,m008_balanced_random_group,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,256,0.06560445373278469,0.2855923487030935,0,27.062413194444442,"[27.8140625, 26.953125, 26.98046875, 27.16875, 27.6484375, 27.115625, 27.20390625, 27.20390625, 27.15, 26.8796875, 27.75546875, 27.05859375, 27.67421875, 26.75078125, 26.91953125, 26.88046875, 27.1453125, 26.79140625, 25.9515625, 26.68125, 27.096875, 27.15, 27.75390625, 26.5359375, 27.02109375, 26.52421875, 27.25390625, 26.11640625, 27.5484375, 27.15546875, 26.95390625, 26.96640625, 27.0546875, 26.81953125, 26.98984375, 27.5796875]",6b162a8235334ba6e0f10dd8f6e98bbcd0b65c30350ea7521bc010478b7f11c7,2026073104,control_p0.5_r16|0
