inherit_prob,delta_fitness_mean,delta_fitness_sem,delta_mi_mean,delta_mi_sem,mi_final_mean,fitness_final_mean
0.1,0.12726562499999988,0.14702605330006177,0.0004916780312250728,0.0006360968562681245,0.06404811143955487,27.182148437499997
0.2,-0.33519531249999995,0.1254689813869162,0.00043349247295044297,0.00048264362599575165,0.06424298352033433,27.120351562499998
0.3,0.009804687499999432,0.101175256100153,0.0025105298694251175,0.00036607963108532284,0.06606931634278936,27.1491015625
0.4,0.10753906250000078,0.1453418798446452,0.0059545352465397135,0.0006992125084312442,0.06955849110144628,27.175703125000002
0.5,-0.014921874999999928,0.1464709467529362,0.011237269913324938,0.0007137757312498653,0.07466736616993308,27.190273437499997
0.6,-0.08476562499999982,0.11389496725715786,0.018481029317703478,0.0010479071780987012,0.0824735649917106,27.127460937499997
0.7,-0.024882812500000462,0.14311648961416323,0.03476733350292332,0.001124474445701306,0.09763973046592292,27.068359374999993
0.8,0.17867187499999967,0.13662233560002826,0.06688561557711341,0.0022865956357706473,0.13032587100955004,27.2280078125
0.9,-0.1127734375000001,0.12258274221820885,0.15234365920289764,0.003917086487786656,0.21552366250296426,27.118007812500004
1.0,-0.015078124999999965,0.11961936815829463,0.4139490099999093,0.003090903748662192,0.4779200417638828,27.116054687500004
