condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,excess_over_control,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.25905644529130073,0.20812512861186255,0.8033968364609978,6.069566514756943,5.825425889756943,2.049544270833337,False,504
selective,excess_over_control,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26040796297890456,0.20832637038312365,0.8,5.967610677083332,5.7998046875,2.1656249999999986,False,504
selective,excess_over_control,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2627322615093242,0.21067355532200852,0.8018564378494943,5.9449300130208345,5.700984700520832,2.0624348958333343,False,504
selective,excess_over_control,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26231701300236243,0.21044076315243432,0.8022383327098158,5.978930664062498,5.795467122395833,2.079850260416663,False,504
selective,excess_over_control,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2677003375542935,0.21696205524525983,0.8104661250240552,6.120274522569446,5.804942491319444,2.134798177083333,False,504
selective,excess_over_control,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.27357529684147935,0.22196110899492558,0.8113346181381971,6.122555881076394,5.816370985243058,2.1125000000000007,False,504
selective,excess_over_control,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2851008181190562,0.2339514419936457,0.8205919700165475,6.041674804687498,5.773413085937501,2.17454427083333,False,504
selective,excess_over_control,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.31030293215093174,0.2487999874415179,0.801797088145146,6.1548828124999915,5.872037760416664,2.117871093749997,False,504
selective,excess_over_control,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.38134165501306666,0.3142310785269381,0.8240145664552985,6.865828450520836,6.7610107421875005,2.4296549479166636,False,504
selective,excess_over_control,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5239127049008296,0.43928411639033155,0.8384681499057801,11.975124782986114,11.154584418402777,4.835253906249999,False,504
