condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.05,2,0.15806160696806104,True
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.01,3,0.22052770038207342,False
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.025,3,0.17055483102641358,True
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.05,3,0.1438428276481657,True
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.01,5,0.22052770038207342,False
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.025,5,0.14482749897874456,True
selective,mean_future_fitness,0.6,all_methods_pooled_diagnostic,0.05,5,0.11617933954498455,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.01,1,0.20329511876062173,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.025,1,0.20048772013783622,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.05,1,0.19580872243319333,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.01,2,0.19467526451479264,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.025,2,0.19129194184348214,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.05,2,0.18565307072463086,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.01,3,0.1843302306585337,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.025,3,0.1803999561025017,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.05,3,0.17384949850911452,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.01,5,0.17290153481515974,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.025,5,0.17084746178709498,True
selective,mean_future_fitness,0.7,all_methods_pooled_diagnostic,0.05,5,0.1674240067403201,True
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.01,1,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.025,1,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.05,1,0.2114437560353861,True
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.01,2,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.025,2,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.05,2,0.19987996973587685,True
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.01,3,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.025,3,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.05,3,0.1868827440027675,True
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.01,5,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.025,5,0.2564869576365425,False
selective,mean_future_fitness,0.8,all_methods_pooled_diagnostic,0.05,5,0.17881957288881378,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.01,1,0.2334108413998742,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.025,1,0.23014163659256012,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.05,1,0.20773723669468871,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.01,2,0.22597405773332338,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.025,2,0.2259002698717101,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.05,2,0.19301870978565178,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.01,3,0.2192673583140127,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.025,3,0.21673311793401098,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.05,3,0.17890065875691208,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.01,5,0.20322714782226248,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.025,5,0.20012783551962804,True
selective,mean_future_fitness,0.9,all_methods_pooled_diagnostic,0.05,5,0.1625008851915342,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.01,1,0.2860112722329745,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.025,1,0.23371746707052038,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.05,1,0.2249850812584996,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.01,2,0.270462596746892,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.025,2,0.2167990048444357,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.05,2,0.21626148702077372,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.01,3,0.2508597279354748,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.025,3,0.21544245857764918,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.05,3,0.20996105229922282,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.01,5,0.2166602141800404,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.025,5,0.1999811898158726,True
selective,mean_future_fitness,1.0,all_methods_pooled_diagnostic,0.05,5,0.19157675493481824,True
