inherit_prob,rep,delta_fitness,delta_mi
0.1,0,-0.07421875,0.0031158395426927332
0.1,1,-0.3054687499999993,0.0030858299472365652
0.1,2,0.13437499999999858,0.000368302573653459
0.1,3,0.3781250000000007,0.004916030172629995
0.1,4,-1.0125000000000028,-0.00130776715298013
0.1,5,0.09296874999999716,-0.0005922542631553729
0.1,6,-0.2820312499999993,7.497308067520858e-05
0.1,7,0.640625,-0.0008994766472611854
0.1,8,0.5460937500000007,-0.00013902407223993773
0.1,9,-0.2726562500000007,-0.0027355252103425307
0.1,10,0.11171875000000142,0.001248283949970383
0.1,11,-1.5046874999999993,0.0017430791597041057
0.1,12,0.19296874999999858,0.003061256412063125
0.1,13,-0.56640625,-0.0028396577934488715
0.1,14,0.5218750000000014,-0.0009213125510121531
0.1,15,0.7906249999999986,0.007335310904149815
0.1,16,0.6554687500000007,0.0009771532644004682
0.1,17,0.421875,0.0006380528593646906
0.1,18,1.24609375,-0.0035558811053462702
0.1,19,0.8304687500000014,-0.003739652446252642
0.2,0,-0.4671875000000014,-0.0003842935161728206
0.2,1,-0.7164062499999986,0.002178379174828625
0.2,2,-0.6320312500000007,-0.004660918794557989
0.2,3,-0.7117187499999993,0.0008365500766617934
0.2,4,-0.09765625,0.00043530679112433607
0.2,5,-0.9945312499999979,0.0001267571366293796
0.2,6,-0.11796875000000284,0.0018047562500669023
0.2,7,-0.11015624999999929,0.0026053643958403733
0.2,8,-1.0710937499999993,-0.0029666744601257178
0.2,9,-0.10312499999999858,0.0023226379613875414
0.2,10,1.0749999999999993,-0.0029003530118660026
0.2,11,-0.03281249999999858,0.0033931276555673948
0.2,12,0.1921874999999993,0.0014882193064061633
0.2,13,-1.2648437500000007,-0.00021542885770300252
0.2,14,-0.7117187499999993,0.0030066894456240376
0.2,15,0.29531249999999787,0.0013150481116145918
0.2,16,-0.5359374999999993,-0.0007112981871539303
0.2,17,0.03125,0.0023735645522872523
0.2,18,0.11796874999999929,-0.001173152408954603
0.2,19,-0.8484374999999993,-0.00020443216249546592
0.3,0,-0.23906250000000284,0.0026545931155210756
0.3,1,0.2585937499999993,0.0036294681190341127
0.3,2,0.010156250000001421,0.002314115809004827
0.3,3,-1.24609375,0.0024515338280849813
0.3,4,0.14218749999999858,0.0038095153907010404
0.3,5,0.28359374999999787,0.002282192432636304
0.3,6,-0.6375000000000028,0.004636102522093781
0.3,7,-0.1867187500000007,0.0018552670497933577
0.3,8,-0.1335937499999993,0.005215505761046839
0.3,9,-0.03984375000000284,0.0029042670913082824
0.3,10,-0.2195312499999993,0.0035287642638613254
0.3,11,-0.15078125000000142,0.004549287279171407
0.3,12,0.3312500000000007,0.0008637924385778012
0.3,13,0.46875,0.001630680237671156
0.3,14,0.9382812499999993,0.00019705381938650568
0.3,15,0.47265625,0.002581310585203958
0.3,16,0.13046875000000213,0.0009191314015861152
0.3,17,0.2820312499999993,-0.001765661570650584
0.3,18,-0.04296875,0.0026921472781466504
0.3,19,-0.2257812500000007,0.003261530536323415
0.4,0,0.3156250000000007,-0.0009534409713877062
0.4,1,0.4140625,0.0007805373880501454
0.4,2,-0.05234374999999858,0.01105075890885547
0.4,3,1.4320312500000014,0.010303574680078795
0.4,4,0.15078125000000142,0.0028281095876374757
0.4,5,-0.49062499999999787,0.008392106644568006
0.4,6,-1.0843750000000014,0.0070233363907267615
0.4,7,0.7335937500000007,0.0057088816583837215
0.4,8,0.51171875,0.00541426254996033
0.4,9,0.33984375,0.00826806254339988
0.4,10,-0.6999999999999993,0.0074752885633255495
0.4,11,0.10390624999999787,0.007228655117071471
0.4,12,-0.3328124999999993,0.0041067709305983024
0.4,13,-0.6359374999999972,0.005600006331654334
0.4,14,0.6351562500000014,0.0073303095149957614
0.4,15,-0.1796875,0.004893290735231259
0.4,16,-0.09296874999999716,0.005124596476120735
0.4,17,1.40625,0.010813839749228511
0.4,18,0.04921875000000142,0.0035389359606504966
0.4,19,-0.3726562499999986,0.004162822171644959
0.5,0,0.7156250000000028,0.009163382104985754
0.5,1,0.4554687500000014,0.013434085943013124
0.5,2,-0.13046875000000213,0.009812326113590744
0.5,3,-0.41640624999999787,0.01381035088898841
0.5,4,-0.1015625,0.01481231858343246
0.5,5,0.6453124999999993,0.009718131524173848
0.5,6,-0.7359375000000021,0.01230102136904239
0.5,7,-0.5789062499999993,0.008131782195007195
0.5,8,-0.5179687500000014,0.010277222124291982
0.5,9,-0.7718749999999979,0.01556932554304341
0.5,10,-0.5390625,0.006138504882761436
0.5,11,0.6656249999999986,0.011176671559790186
0.5,12,0.4125000000000014,0.005305428639320264
0.5,13,-0.9703124999999986,0.006785013906673132
0.5,14,0.5023437500000014,0.01099153034830333
0.5,15,-0.03515625,0.010765164293370919
0.5,16,0.3601562499999993,0.012440222825856717
0.5,17,-0.9164062500000014,0.011994951618018022
0.5,18,1.3929687499999979,0.016537073629622145
0.5,19,0.265625,0.015580890173213263
0.6,0,-0.8781250000000007,0.024066982391381622
0.6,1,-0.11171874999999787,0.020395453294725474
0.6,2,0.1015625,0.015676459555695382
0.6,3,0.8679687499999993,0.02028769046079089
0.6,4,-1.2375000000000007,0.01437142654793333
0.6,5,0.6218749999999993,0.019781934202775492
0.6,6,0.5554687500000028,0.020381854571122404
0.6,7,-0.06015624999999858,0.024565778569177195
0.6,8,-0.03046875000000071,0.013389103575394717
0.6,9,0.1171875,0.025750629195167733
0.6,10,-0.06562500000000071,0.01776110600169878
0.6,11,-0.6101562499999993,0.019819385823877614
0.6,12,-0.17343749999999858,0.014587238886311749
0.6,13,0.05624999999999858,0.02072147515934876
0.6,14,-0.5750000000000028,0.027409634114207243
0.6,15,0.33750000000000213,0.010787900146470408
0.6,16,-0.4609375,0.019033944445147305
0.6,17,0.28515625,0.01340900816419574
0.6,18,-0.07968749999999858,0.0132796572877098
0.6,19,-0.35546875,0.014143923960937915
0.7,0,-0.6687500000000028,0.03577683408111906
0.7,1,-0.5593750000000028,0.029082294228671896
0.7,2,-0.04062499999999858,0.03333631566177088
0.7,3,-0.6507812500000014,0.03488780137125183
0.7,4,0.9093750000000007,0.04434332450402702
0.7,5,-0.35312500000000213,0.03687070269201409
0.7,6,-0.4054687500000007,0.02955797948874206
0.7,7,-0.09296874999999716,0.030431303995290038
0.7,8,0.2976562499999993,0.03477238025969903
0.7,9,-0.24374999999999858,0.03670511759984112
0.7,10,0.2265625,0.03193040765708831
0.7,11,-1.328125,0.03265532888135339
0.7,12,0.3648437499999986,0.04593067582699498
0.7,13,0.3874999999999993,0.04113695853632993
0.7,14,-0.3968750000000014,0.03333760004344152
0.7,15,0.5593749999999993,0.027727019414534995
0.7,16,-0.5093749999999986,0.033684330536243534
0.7,17,1.55078125,0.03893623932208593
0.7,18,0.21015624999999716,0.02779706044233271
0.7,19,0.2453125000000007,0.03644699551563406
0.8,0,-0.7484375000000014,0.06157131711316306
0.8,1,-0.13046874999999858,0.050964551961355006
0.8,2,-0.04921875000000142,0.06160498598144255
0.8,3,-0.10234374999999929,0.07560384424558092
0.8,4,1.5109375000000007,0.07475095322723563
0.8,5,0.5703125,0.07098918500975342
0.8,6,-0.3726562499999986,0.08145211019171156
0.8,7,1.1109374999999986,0.08325140878863443
0.8,8,-0.2796875000000014,0.06554340850096144
0.8,9,-0.4109374999999993,0.07289478350284812
0.8,10,0.8492187500000021,0.05093001149294904
0.8,11,-0.4585937499999986,0.06632354607169702
0.8,12,-0.4265624999999993,0.08301911167505643
0.8,13,0.40937499999999716,0.059362958396600496
0.8,14,-0.30937500000000284,0.05099372218909769
0.8,15,0.24843749999999787,0.05998928933023964
0.8,16,0.14999999999999858,0.05954771457661284
0.8,17,0.8625000000000007,0.06560104230219191
0.8,18,0.421875,0.07563591331917
0.8,19,0.7281249999999986,0.067682453665967
0.9,0,-0.32890625000000284,0.11701340733895431
0.9,1,0.17890624999999716,0.1561669710130696
0.9,2,1.0562500000000021,0.15338645223309774
0.9,3,-0.016406250000002842,0.12810570384725087
0.9,4,0.4671875000000014,0.15843114168063188
0.9,5,-0.6632812500000007,0.1262829263438393
0.9,6,-0.1999999999999993,0.1605740644400832
0.9,7,0.7757812500000014,0.15952899319459368
0.9,8,-0.8312500000000007,0.1528299099371807
0.9,9,-0.4437500000000014,0.16496515239866028
0.9,10,-0.3523437499999993,0.18954307915944402
0.9,11,0.4593750000000014,0.17556232631866753
0.9,12,0.03593749999999929,0.1661645370262837
0.9,13,0.05703125000000142,0.15395544491370747
0.9,14,-0.6640625,0.15431007684859627
0.9,15,-1.140625,0.1463678126731488
0.9,16,-0.25390625,0.13437079034496135
0.9,17,-0.5945312499999993,0.16576207352944644
0.9,18,0.09453124999999929,0.13465221159831436
0.9,19,0.10859375000000071,0.14890010921802088
1.0,0,-0.6539062500000021,0.42670673123711594
1.0,1,-0.0007812499999992895,0.4218972775095843
1.0,2,-0.08437499999999787,0.39635654906024054
1.0,3,0.76953125,0.413435184818979
1.0,4,0.6039062500000014,0.4107138935254578
1.0,5,0.20546875000000142,0.398924408172551
1.0,6,0.4921875,0.40515504378553935
1.0,7,-0.28125,0.42247209970774136
1.0,8,-0.06562500000000071,0.41997525453056217
1.0,9,-0.16953124999999858,0.43770163583219707
1.0,10,-0.7476562499999986,0.3953021725333814
1.0,11,0.5671874999999993,0.43291361851446886
1.0,12,-0.22500000000000142,0.43395956005210123
1.0,13,-1.2624999999999993,0.41120266364385594
1.0,14,0.5789062499999993,0.40048203223634304
1.0,15,0.2749999999999986,0.41819654528709266
1.0,16,-0.3367187499999993,0.4281810967149331
1.0,17,-0.09999999999999787,0.3956489036307481
1.0,18,0.6078124999999979,0.39812219285338435
1.0,19,-0.47421875000000213,0.4116333363519074
