condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,mean_future_fitness,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2598119232069511,0.20934660105742608,0.8057621008050224,5.916927083333331,32.884667968749994,29.235188802083332,False,504
selective,mean_future_fitness,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2592610193900669,0.20843991581790172,0.8039770741790414,5.956212022569446,32.925320095486114,29.173307291666664,False,504
selective,mean_future_fitness,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2595607257076285,0.20963615911844363,0.8076574703161358,5.899088541666661,32.88255208333333,29.178776041666662,False,504
selective,mean_future_fitness,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2612805998996719,0.20977089959913256,0.8028567742101085,5.949348958333328,32.957682291666664,29.302083333333332,False,504
selective,mean_future_fitness,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.26674548194394,0.21407629315604323,0.8025489001573197,5.980927191840276,32.911884223090276,29.16350911458333,False,504
selective,mean_future_fitness,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.27392574066872943,0.22052770038207342,0.8050638097891186,5.938140190972224,32.89670138888889,29.224511718750005,False,504
selective,mean_future_fitness,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2837468743960047,0.2364257584615833,0.8332277103134578,6.039873589409719,33.01220431857639,29.27161458333333,False,504
selective,mean_future_fitness,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3092982092544963,0.2564869576365425,0.8292545833186518,6.226538085937506,33.21898600260417,29.32923177083333,False,504
selective,mean_future_fitness,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.380839802327306,0.29739849193182594,0.7809018125585311,6.983363172743061,33.90292697482639,29.85810546875,False,504
selective,mean_future_fitness,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5224623594026633,0.43975902621147855,0.8417047052236637,12.00216471354167,38.384228515625004,31.460904947916664,False,504
