preserved_info_bin,frontier_viability,support,method,frontier_viability_smooth
0.0,0.25231119791666146,168,kmeans_profile,0.25231119791666146
0.00826180330645641,0.25231119791666146,12,balanced_random_group,0.25231119791666146
0.013094648429067468,0.25231119791666146,12,affinity_rank_group,0.25231119791666146
0.01652360661291282,0.25231119791666146,48,prefix_group,0.25231119791666146
0.02028569391875179,0.25231119791666146,5,affinity_rank_group,0.25231119791666146
0.022456889423181324,0.25231119791666146,10,affinity_rank_group,0.25231119791666146
0.02530055289257168,0.25231119791666146,9,balanced_random_group,0.25231119791666146
0.02831745232820947,0.25231119791666146,6,balanced_random_group,0.25231119791666146
0.03125743600940794,0.25231119791666146,12,balanced_random_group,0.25231119791666146
0.031595814263064785,0.25231119791666146,24,prefix_group,0.25231119791666146
0.0344986121885865,0.25231119791666146,24,prefix_group,0.25231119791666146
0.03468670962832516,0.25231119791666146,8,balanced_random_group,0.25231119791666146
0.037280063280710374,0.25231119791666146,6,affinity_rank_group,0.25231119791666146
0.039734692357488166,0.25231119791666146,10,balanced_random_group,0.25231119791666146
0.043443793235973145,0.25231119791666146,11,affinity_rank_group,0.25231119791666146
0.046479961999523735,0.25231119791666146,12,prefix_group,0.25231119791666146
0.04697008846644102,0.25231119791666146,8,affinity_rank_group,0.25231119791666146
0.04830748078967059,0.25231119791666146,12,prefix_group,0.25231119791666146
0.04888015203005124,0.25231119791666146,6,affinity_rank_group,0.25231119791666146
0.05174791828287975,0.25231119791666146,24,prefix_group,0.25231119791666146
0.05214435810573959,0.25231119791666146,12,affinity_rank_group,0.25231119791666146
0.055888782600139866,0.25231119791666146,9,balanced_random_group,0.25231119791666146
0.059076528375771056,0.25231119791666146,5,balanced_random_group,0.25231119791666146
0.06403386350299813,0.25231119791666146,8,prefix_group,0.25231119791666146
0.06831587468355552,0.25231119791666146,8,prefix_group,0.25231119791666146
