condition,viability_def,inherit_prob,analysis_set,tolerance,smoothing_window,semantic_info,target_reached
selective,threshold_survival,0.9,all_methods_pooled_diagnostic,0.025,3,0.030614340023016582,True
selective,threshold_survival,0.9,all_methods_pooled_diagnostic,0.05,3,0.022960755017262427,True
selective,threshold_survival,0.9,all_methods_pooled_diagnostic,0.01,5,0.0,True
selective,threshold_survival,0.9,all_methods_pooled_diagnostic,0.025,5,0.0,True
selective,threshold_survival,0.9,all_methods_pooled_diagnostic,0.05,5,0.0,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.01,1,0.08364881624291441,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.025,1,0.08219868485726775,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.05,1,0.07978179921452333,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.01,2,0.050818715738850564,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.025,2,0.04846114645199667,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.05,2,0.04453186430724018,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.01,3,0.0,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.025,3,0.0,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.05,3,0.0,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.01,5,0.0,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.025,5,0.0,True
selective,threshold_survival,1.0,all_methods_pooled_diagnostic,0.05,5,0.0,True
