condition,viability_def,inherit_prob,rep,method,analysis_role,k,preserved_info,viability,actual_viability,syntactic_info,meta
control,threshold_survival,0.1,0,prefix_group,primary,96,0.0515981981542461,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,prefix_group,primary,128,0.0515981981542461,0.0,0.0,0.06449774769280762,"{""status"": ""ok""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,1,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,2,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,3,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,4,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,6,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,8,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,12,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,16,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
control,threshold_survival,0.1,0,kmeans_profile,diagnostic_function_preserving,24,0.0,0.0,0.0,0.06449774769280762,"{""diversity"": 0.0, ""k_used"": 1, ""status"": ""disabled_low_diversity""}"
