preserved_info_bin,frontier_viability,support,method,frontier_viability_smooth
0.0,-4.83164310636202,12,kmeans_profile,-4.83164310636202
0.026739010786447862,-4.83164310636202,11,affinity_rank_group,-4.83164310636202
0.04248865117835155,-4.817918766555216,12,kmeans_profile,-4.817918766555216
0.053478021572895725,-4.817918766555216,44,prefix_group,-4.817918766555216
0.06929600539589253,-4.817918766555216,12,balanced_random_group,-4.817918766555216
0.0804220626526229,-4.817918766555216,12,balanced_random_group,-4.817918766555216
0.09610335961343348,-4.817918766555216,12,kmeans_profile,-4.817918766555216
0.10695604314579145,-4.817918766555216,11,kmeans_profile,-4.817918766555216
0.12291071383097446,-4.817918766555216,12,affinity_rank_group,-4.817918766555216
0.13403677108770484,-4.817918766555216,12,balanced_random_group,-4.817918766555216
0.15092994268855925,-4.817918766555216,9,kmeans_profile,-4.817918766555216
0.1608441253052458,-4.817918766555216,48,prefix_group,-4.817918766555216
0.17294618385586413,-4.817918766555216,5,kmeans_profile,-4.817918766555216
0.1798696408889181,-4.817918766555216,9,affinity_rank_group,-4.817918766555216
0.18865651341865344,-4.788707214651633,10,kmeans_profile,-4.788707214651633
0.20966697807633664,-4.788707214651633,8,prefix_group,-4.788707214651633
0.2168547615723233,-4.788707214651633,16,prefix_group,-4.788707214651633
