condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,mean_future_fitness,0.1,kmeans_profile_only_mechanistic,kmeans_profile,0.2598119232069511,0.18317827592524782,0.7050418382043946,5.910091145833331,32.884667968749994,32.670345052083334,False,168
selective,mean_future_fitness,0.2,kmeans_profile_only_mechanistic,kmeans_profile,0.2592610193900669,0.182384926340664,0.7034799399066612,5.838406032986114,32.925320095486114,32.67994791666667,False,168
selective,mean_future_fitness,0.3,kmeans_profile_only_mechanistic,kmeans_profile,0.2595607257076285,0.18343163922863814,0.7067002865266186,5.869075520833331,32.88255208333333,32.710156250000004,False,168
selective,mean_future_fitness,0.4,kmeans_profile_only_mechanistic,kmeans_profile,0.2612805998996719,0.183549537149241,0.7024996774338449,5.875358072916665,32.957682291666664,32.7037109375,False,168
selective,mean_future_fitness,0.5,kmeans_profile_only_mechanistic,kmeans_profile,0.26674548194394,0.18731675651153784,0.7022302876376548,5.7985378689236065,32.911884223090276,32.71165364583334,False,168
selective,mean_future_fitness,0.6,kmeans_profile_only_mechanistic,kmeans_profile,0.27392574066872943,0.19296173783431422,0.7044308335654786,5.869194878472225,32.89670138888889,32.79098307291667,False,168
selective,mean_future_fitness,0.7,kmeans_profile_only_mechanistic,kmeans_profile,0.2837468743960047,0.19656033514438123,0.6927312787595904,6.054977756076386,33.01220431857639,32.97828776041667,True,168
selective,mean_future_fitness,0.8,kmeans_profile_only_mechanistic,kmeans_profile,0.3092982092544963,0.21318213068142525,0.6892446328585596,6.237215169270836,33.21898600260417,32.923404947916666,False,168
selective,mean_future_fitness,0.9,kmeans_profile_only_mechanistic,kmeans_profile,0.380839802327306,0.24100517838732488,0.6328256051876564,6.848988172743066,33.90292697482639,34.10354817708333,True,168
selective,mean_future_fitness,1.0,kmeans_profile_only_mechanistic,kmeans_profile,0.5224623594026633,0.2841145840605404,0.5437991444692238,11.322216796875004,38.384228515625004,40.55556640625,True,168
