condition,viability_def,inherit_prob,analysis_set,methods,syntactic_info_mean,semantic_info_mean,semantic_efficiency_mean,value_of_information_mean,actual_viability_mean,frontier_max_viability,frontier_reaches_target,n_intervention_points
selective,excess_over_control,0.1,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.25905644529130073,0.20812512861186255,0.8033968364609978,6.069566514756943,5.825425889756943,5.620019531249998,False,672
selective,excess_over_control,0.2,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26040796297890456,0.20832637038312365,0.8,5.967610677083332,5.7998046875,5.61787109374999,False,672
selective,excess_over_control,0.3,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2627322615093242,0.21067355532200852,0.8018564378494943,5.9449300130208345,5.700984700520832,5.551562500000006,False,672
selective,excess_over_control,0.4,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.26231701300236243,0.21044076315243432,0.8022383327098158,5.978930664062498,5.795467122395833,5.613476562500001,False,672
selective,excess_over_control,0.5,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2677003375542935,0.21696205524525983,0.8104661250240552,6.120274522569446,5.804942491319444,5.586458333333329,False,672
selective,excess_over_control,0.6,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.27357529684147935,0.22196110899492558,0.8113346181381971,6.122555881076394,5.816370985243058,5.707877604166669,False,672
selective,excess_over_control,0.7,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.2851008181190562,0.19227266387413783,0.674402357533208,6.041674804687498,5.773413085937501,5.725911458333332,True,672
selective,excess_over_control,0.8,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.31030293215093174,0.1956403694029744,0.6304818586368197,6.1548828124999915,5.872037760416664,5.981608072916668,True,672
selective,excess_over_control,0.9,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.38134165501306666,0.17902190971238274,0.4694528052705088,6.865828450520836,6.7610107421875005,7.837434895833329,True,672
selective,excess_over_control,1.0,all_methods_pooled_diagnostic,balanced_random_group|affinity_rank_group|prefix_group|kmeans_profile,0.5239127049008296,0.3061037723645654,0.5842648393543103,11.975124782986114,11.154584418402777,13.051334635416662,True,672
