preserved_info_bin,frontier_viability,support,method,frontier_viability_smooth
0.0,-4.8514855273246935,12,kmeans_profile,-4.8514855273246935
0.03087444659496084,-4.842539725073511,12,kmeans_profile,-4.842539725073511
0.04893484008353091,-4.842539725073511,12,kmeans_profile,-4.842539725073511
0.06174889318992168,-4.842539725073511,12,kmeans_profile,-4.842539725073511
0.07980928667849176,-4.842539725073511,12,kmeans_profile,-4.842539725073511
0.0915331170684191,-4.842539725073511,9,kmeans_profile,-4.842539725073511
0.10938093075480068,-4.842539725073511,9,kmeans_profile,-4.842539725073511
0.11862945976558883,-4.842539725073511,8,kmeans_profile,-4.842539725073511
0.12524488298880496,-4.842539725073511,7,kmeans_profile,-4.842539725073511
0.13944719323956845,-4.842539725073511,8,kmeans_profile,-4.842539725073511
0.1466891810121461,-4.842539725073511,5,kmeans_profile,-4.842539725073511
0.15407759159460827,-4.842539725073511,10,kmeans_profile,-4.842539725073511
0.16715461199432033,-4.842539725073511,5,kmeans_profile,-4.842539725073511
0.1735056991579536,-4.842539725073511,7,kmeans_profile,-4.842539725073511
0.18278402579100086,-4.842539725073511,10,kmeans_profile,-4.842539725073511
0.20091404782321978,-4.842539725073511,9,kmeans_profile,-4.842539725073511
0.21224038199460377,-4.842539725073511,11,kmeans_profile,-4.842539725073511
