preserved_info_bin,frontier_viability,support,method,frontier_viability_smooth
0.0,-7.623072432035945,12,kmeans_profile,-7.546292770504834
0.02598110360032116,-7.546292770504834,12,kmeans_profile,-7.546292770504834
0.04117907493386045,-7.546292770504834,12,kmeans_profile,-7.546292770504834
0.05196220720064232,-7.546292770504834,12,kmeans_profile,-7.533434639010169
0.06716017853418162,-7.546292770504834,12,kmeans_profile,-7.533434639010169
0.07849773302580337,-7.533434639010169,9,kmeans_profile,-7.512322649343515
0.09204713095194327,-7.533434639010169,6,kmeans_profile,-7.512322649343515
0.09423543331706226,-7.512322649343515,6,kmeans_profile,-7.512322649343515
0.10392441440128464,-7.512322649343515,12,kmeans_profile,-7.512322649343515
0.11939561108044887,-7.512322649343515,11,kmeans_profile,-7.512322649343515
0.12962543453181316,-7.512322649343515,11,kmeans_profile,-7.512322649343515
0.14479063819997232,-7.512322649343515,11,kmeans_profile,-7.512322649343515
0.15699546605160675,-7.512322649343515,9,kmeans_profile,-7.512322649343515
0.17354970982049137,-7.512322649343515,10,kmeans_profile,-7.512322649343515
0.18269748979048323,-7.512322649343515,10,kmeans_profile,-7.512322649343515
