inherit_prob,rep,delta_fitness,delta_mi
0.1,0,0.014062500000001421,0.005738990512787812
0.1,1,-0.24843750000000142,0.004000406619131258
0.1,2,-0.15859375000000142,0.008990727121226505
0.1,3,0.41484374999999574,0.003483185361480956
0.1,4,-0.30859375,-0.010193965261464322
0.1,5,0.21406249999999716,0.004459636670709366
0.1,6,-1.0218750000000014,0.0014936824167204321
0.1,7,-1.1937499999999943,-0.007134422198011303
0.1,8,-0.55078125,0.0038702450263076726
0.1,9,0.16562499999999858,-0.007800408942040704
0.1,10,-0.16171875000000568,-0.0007272154838908751
0.1,11,-0.25703124999999716,0.010185282379017502
0.1,12,0.0625,0.007401908079170516
0.1,13,-0.05781250000000426,0.003472679786351407
0.1,14,0.69140625,-0.0016973017409017133
0.1,15,1.2140624999999972,-0.005184969414045004
0.1,16,1.1624999999999979,0.009896005757409232
0.1,17,-0.7546874999999957,-0.00039993257548465166
0.1,18,-0.0859375,-0.0019128811015921565
0.1,19,-0.21015625000000426,-0.0009313120738725367
0.2,0,-0.028125000000002842,-0.004652170787391441
0.2,1,-0.17265625000000284,0.001789073218633641
0.2,2,0.4789062500000014,0.0056874036832056385
0.2,3,0.14296875000000142,-0.0007109488039792056
0.2,4,0.43437500000000284,-0.0007820658210048181
0.2,5,0.4742187500000057,0.004788468877455321
0.2,6,-0.2421875,0.002713875492064477
0.2,7,-0.91015625,0.007312433420231468
0.2,8,0.18515624999999858,0.00477860869308977
0.2,9,0.17656249999999574,0.004133737847594632
0.2,10,-0.5335937500000014,-0.006293486671240522
0.2,11,-0.14609374999999858,0.00473476651252952
0.2,12,-0.8250000000000028,0.0018439333071264552
0.2,13,0.9945312499999979,0.0002956325790323122
0.2,14,0.9632812500000014,0.0028453667026697715
0.2,15,-0.40156250000000426,0.01000766818758042
0.2,16,0.15468750000000142,-0.0017643998461042143
0.2,17,0.13515625000000142,0.003067244664960833
0.2,18,-0.5609375000000014,0.014334730405174356
0.2,19,-0.6515625000000043,0.005134558626119168
0.3,0,0.7687500000000043,-0.0005983898026660217
0.3,1,-0.38984375000000426,0.0006206016064015385
0.3,2,-0.3109375000000014,0.0021965477705470637
0.3,3,0.5234375,-0.001941519759151078
0.3,4,-0.15937500000000426,0.0038717433411543656
0.3,5,0.8195312499999972,0.009198311533928749
0.3,6,-0.010156250000001421,0.0006418823424574338
0.3,7,0.27734375,0.014425294811283962
0.3,8,-0.6242187499999972,0.0028571812770349925
0.3,9,-0.04765624999999574,0.003006356485713624
0.3,10,-0.08359375000000568,0.006786576577063552
0.3,11,0.18359375,0.004894392084435872
0.3,12,0.57421875,0.0007375453488102091
0.3,13,0.65625,-0.0031084164042160523
0.3,14,0.02734375,0.0014321439807610248
0.3,15,0.17031250000000142,0.006912110410307204
0.3,16,-0.6234375000000014,0.0034521828398316745
0.3,17,-0.4039062499999986,0.007804440067923468
0.3,18,-0.07265625000000142,0.007100797206898712
0.3,19,0.3304687500000014,0.009605772160672044
0.4,0,1.3421875000000014,0.002032787479692544
0.4,1,0.13750000000000284,0.0032905119373379255
0.4,2,-0.0859375,0.0004914053440482902
0.4,3,-0.03750000000000142,0.002316558584827544
0.4,4,-0.21640624999999858,0.0008230836934466357
0.4,5,0.4039062500000057,0.003569285159624458
0.4,6,0.6867187500000043,0.009513614064088294
0.4,7,0.23124999999999574,0.002330501751844072
0.4,8,0.3578125000000014,0.010425465555033209
