inherit_prob,delta_fitness_mean,delta_fitness_sem,delta_mi_mean,delta_mi_sem,mi_final_mean,fitness_final_mean
0.1,-0.053515625000000885,0.13733331679842892,0.0013505170469504696,0.0013195765520831054,0.2605021317737401,32.81875
0.2,-0.016601562500000534,0.12016729472104584,0.0029632215143873793,0.0010569505534366707,0.2615218148998646,32.780742187499996
0.3,0.08027343749999964,0.0979777745695218,0.003994777693959617,0.0009747347266656529,0.2627986060374322,32.775859375
0.4,0.16957031250000085,0.14561739019101877,0.0032811148902969238,0.001525785285775854,0.2623459895268264,33.0162109375
0.5,-0.05921874999999925,0.1238649458060983,0.007435327373940326,0.001471347142926702,0.26688514660725426,32.8305078125
0.6,-0.04746093749999965,0.14518903563790367,0.013864872422065308,0.0016968435506694941,0.2729160129047743,32.9159765625
0.7,-0.09679687500000114,0.13492288450464973,0.026433539874494927,0.0017729859979178895,0.28481220831683507,32.897968750000004
0.8,0.35718750000000055,0.14405321460828377,0.04938007284469035,0.0020712408182414787,0.3102021580502323,33.188320312500004
0.9,1.0317578125000004,0.17470095928217097,0.11586288441096468,0.004415045942099339,0.37582485540260274,33.833906250000005
1.0,5.225859374999999,0.24668251352066067,0.26235274942708625,0.006478286558328994,0.5220437387739693,38.0861328125
