control_family,seed_block,n_realizations,mean_value_of_information,mean_actual_viability,mean_constant_viability,n_target_reached,all_target_reached,semantic_information_if_all_reached,mean_semantic_lower_bound_among_censored,all_identity_information_recovered,all_identity_viability_recovered
affinity_reassigned,0,2,6.327105034722216,33.47138671875,27.14428168402778,2,True,0.27645445839915683,,True,True
affinity_reassigned,1,2,7.128059895833346,34.342686631944446,27.214626736111104,2,True,0.2712609959822604,,True,True
affinity_reassigned,2,2,6.4615017361111065,33.73116319444445,27.26966145833334,2,True,0.2414135809322121,,True,True
affinity_reassigned,3,2,3.9863172743055593,31.16251085069445,27.17619357638889,2,True,0.2533893560379943,,True,True
affinity_reassigned,4,2,7.970898437500001,35.187022569444444,27.216124131944444,2,True,0.26231991799408505,,True,True
affinity_reassigned,5,2,3.9551486545138914,31.17350802951389,27.218359375,2,True,0.22599649744492045,,True,True
affinity_reassigned,6,2,8.097390407986111,35.275927734374996,27.178537326388884,2,True,0.25887507648866936,,True,True
affinity_reassigned,7,2,7.319965277777772,34.57063802083333,27.25067274305556,2,True,0.2556303104985318,,True,True
affinity_reassigned,8,2,7.220936414930556,34.454204644097224,27.23326822916667,2,True,0.2724963735912608,,True,True
affinity_reassigned,9,2,7.690326605902783,34.87134874131945,27.18102213541667,2,True,0.2949472368296614,,True,True
affinity_reassigned,10,2,7.9369900173611185,35.05378689236112,27.116796875,2,True,0.2678377487978374,,True,True
affinity_reassigned,11,2,7.219791666666666,34.49440104166667,27.274609375000004,2,True,0.2629065568329893,,True,True
affinity_reassigned,12,2,9.018381076388891,36.1439453125,27.12556423611111,2,True,0.2625830333848897,,True,True
affinity_reassigned,13,2,8.137234157986118,35.369048394097234,27.231814236111113,2,True,0.26001777130111897,,True,True
affinity_reassigned,14,2,2.3984320746527708,29.544547526041665,27.146115451388894,2,True,0.25539338691043495,,True,True
affinity_reassigned,15,2,8.44182942708333,35.61800130208333,27.176171875,2,True,0.276854149125764,,True,True
affinity_reassigned,16,2,5.423133680555548,32.591861979166666,27.168728298611114,2,True,0.25335872092569517,,True,True
affinity_reassigned,17,2,7.2888563368055515,34.41638454861111,27.12752821180556,2,True,0.25905833264221356,,True,True
affinity_reassigned,18,2,2.99189995659723,30.167507595486114,27.175607638888884,2,True,0.2285718033470095,,True,True
affinity_reassigned,19,2,8.81718207465278,35.97708875868056,27.159906684027778,2,True,0.25159501265080725,,True,True
alternative_a_cross_b,0,1,9.449273003472221,37.259765625,27.81049262152778,1,True,0.3175565098173945,,True,True
alternative_a_cross_b,1,1,12.721755642361103,40.58675130208333,27.864995659722226,1,True,0.2963364133949552,,True,True
alternative_a_cross_b,2,1,10.851692708333335,38.72709418402778,27.875401475694442,1,True,0.2809169086626983,,True,True
alternative_a_cross_b,3,1,10.713281250000009,38.57777777777778,27.864496527777774,1,True,0.2919995469331626,,True,True
alternative_a_cross_b,4,1,9.968088107638884,37.80442708333333,27.836338975694446,1,True,0.254387713720922,,True,True
alternative_a_cross_b,5,1,9.393511284722223,37.18564453125,27.792133246527776,1,True,0.3006555038212782,,True,True
alternative_a_cross_b,6,1,8.81715494791667,36.65430772569445,27.83715277777778,1,True,0.2745905533276617,,True,True
alternative_a_cross_b,7,1,7.921408420138899,35.80888671875001,27.88747829861111,1,True,0.3044613632378201,,True,True
