seed_block,native_full_voi,target_reached,semantic_information,semantic_lower_bound,affinity_reassigned,alternative_a_cross_b,alternative_a_native,alternative_b_cross_a,alternative_b_native,selection_neutral,selection_reduced,temporally_unstable,topology_mismatch,alternative_native_mean,alternative_cross_mean,contrast_full_minus_neutral,contrast_full_minus_reduced,contrast_native_minus_affinity_reassigned,contrast_native_minus_topology_mismatch,contrast_alternative_native_minus_cross,contrast_stable_minus_unstable
0,12.646267361111107,True,0.2770772466033623,,6.327105034722216,9.449273003472221,12.151529947916664,5.019108072916659,9.572363281249999,7.055577256944439,8.401942274305561,10.516666666666666,9.860828993055556,10.861946614583331,7.23419053819444,5.590690104166669,4.244325086805546,6.319162326388891,2.7854383680555515,3.6277560763888914,0.3452799479166657
1,12.176074218750014,True,0.2526763888582233,,7.128059895833346,12.721755642361103,10.932096354166667,9.994574652777771,10.48223741319444,4.906521267361125,6.434874131944451,10.695269097222223,10.239632161458335,10.707166883680554,11.358165147569437,7.269552951388889,5.741200086805563,5.048014322916668,1.9364420572916785,-0.6509982638888836,0.011897786458330728
2,11.21075303819444,True,0.2980063334655645,,6.4615017361111065,10.851692708333335,11.228602430555558,9.5293185763889,12.897439236111115,5.177669270833327,7.045399305555556,10.79060329861111,10.613216145833327,12.063020833333336,10.190505642361117,6.033083767361113,4.165353732638884,4.749251302083334,0.5975368923611128,1.8725151909722193,1.2724175347222264
3,9.093229166666667,True,0.2876481236978114,,3.9863172743055593,10.713281250000009,10.631879340277784,10.455219184027776,13.958105468750006,7.040407986111113,9.181944444444447,9.633376736111117,9.978445095486105,12.294992404513895,10.584250217013892,2.0528211805555543,-0.08871527777777999,5.106911892361108,-0.8852159288194379,1.7107421875000028,2.661615668402778
4,13.007866753472223,True,0.2966878611635775,,7.970898437500001,9.968088107638884,10.379416232638896,8.669856770833334,13.857042100694443,6.346397569444445,9.29308810763889,9.547384982638889,9.613346354166667,12.11822916666667,9.31897243923611,6.661469184027778,3.7147786458333325,5.0369683159722225,3.3945203993055557,2.79925672743056,2.5708441840277807
5,12.749728732638893,True,0.2769134008472778,,3.9551486545138914,9.393511284722223,10.761892361111101,9.858799913194446,11.590527343750004,6.225423177083336,9.133420138888887,10.403363715277777,11.581852213541675,11.176209852430553,9.626155598958334,6.524305555555557,3.6163085937500057,8.794580078125001,1.1678765190972182,1.5500542534722186,0.7728461371527757
6,10.9703342013889,True,0.2637872661500619,,8.097390407986111,8.81715494791667,11.769921874999998,10.440169270833326,12.26420355902777,6.610264756944439,7.239778645833347,10.32929687499999,10.079383680555551,12.017062717013884,9.628662109374998,4.360069444444461,3.7305555555555525,2.872943793402788,0.8909505208333481,2.3884006076388857,1.687765842013894
7,10.11756727430555,True,0.2900287800244626,,7.319965277777772,7.921408420138899,11.118424479166663,7.832812499999996,11.00119357638889,6.85152994791666,10.117903645833337,11.715559895833337,7.099652777777775,11.059809027777776,7.8771104600694475,3.26603732638889,-0.0003363715277870938,2.797601996527778,3.0179144965277747,3.1826985677083286,-0.655750868055561
8,13.323404947916671,True,0.2951876572985622,,7.220936414930556,6.0849066840277715,10.87537977430555,11.757508680555553,12.679568142361106,4.114019097222226,6.736924913194443,10.530935329861109,11.79574110243056,11.777473958333328,8.921207682291662,9.209385850694446,6.5864800347222285,6.102468532986116,1.5276638454861118,2.8562662760416657,1.2465386284722193
9,10.53030598958334,True,0.2905617582107096,,7.690326605902783,5.451909722222222,11.030219184027786,5.896777343750003,10.395638020833328,4.898817274305557,4.65933159722222,9.012228732638889,10.087451171875,10.712928602430557,5.6743435329861125,5.631488715277783,5.87097439236112,2.839979383680557,0.4428548177083407,5.038585069444444,1.7006998697916682
10,11.791861979166669,True,0.2748345883629545,,7.9369900173611185,9.29705946180556,11.517111545138881,10.104741753472219,11.04075520833333,3.125151909722227,6.034570312500001,9.52403428819445,9.92373046875,11.278933376736106,9.70090060763889,8.666710069444441,5.757291666666667,3.85487196180555,1.868131510416669,1.5780327690972165,1.7548990885416558
11,11.993988715277773,True,0.2961406112002671,,7.219791666666666,7.310275607638889,9.900336371527779,10.176106770833336,12.493988715277776,4.977007378472223,7.848535156250001,9.672819010416656,11.332210286458336,11.197162543402778,8.743191189236112,7.01698133680555,4.1454535590277715,4.774197048611107,0.6617784288194368,2.453971354166665,1.524343532986121
12,13.624989149305556,True,0.267058503784815,,9.018381076388891,9.406803385416666,11.178602430555557,8.06680772569446,9.538856336805551,8.842274305555556,8.774663628472219,10.222504340277784,9.43687608506944,10.358729383680554,8.736805555555563,4.78271484375,4.850325520833337,4.606608072916664,4.188113064236116,1.6219238281249915,0.13622504340277075
13,11.679079861111106,True,0.285444422110618,,8.137234157986118,8.839398871527784,12.77042100694445,10.13156467013889,12.27659505208333,6.25544704861111,10.484016927083324,9.567838541666667,8.864648437500007,12.52350802951389,9.485481770833337,5.423632812499996,1.1950629340277814,3.541845703124988,2.814431423611099,3.038026258680553,2.9556694878472225
14,12.938085937499991,True,0.2704670324675615,,2.3984320746527708,10.267035590277771,10.090299479166667,9.441004774305561,10.654079861111114,5.35528428819444,9.564572482638887,10.934581163194451,7.828493923611104,10.37218967013889,9.854020182291666,7.5828016493055515,3.3735134548611043,10.53965386284722,5.1095920138888875,0.5181694878472243,-0.5623914930555607
15,12.620898437500005,True,0.2644877727941119,,8.44182942708333,6.846582031250001,13.493749999999991,8.628287760416661,11.130230034722217,5.490961371527781,7.358105468749997,11.143532986111111,9.461165364583337,12.311990017361104,7.737434895833331,7.129937065972223,5.2627929687500075,4.179069010416674,3.1597330729166675,4.574555121527773,1.168457031249993
16,13.36407335069444,True,0.3208149810797718,,5.423133680555548,9.810601128472214,10.889485677083329,7.926019965277781,13.58459201388888,5.507736545138883,12.581249999999997,9.920855034722216,13.255110677083326,12.237038845486104,8.868310546874998,7.856336805555557,0.7828233506944429,7.940939670138892,0.10896267361111356,3.3687282986111065,2.3161838107638886
17,13.595974392361107,True,0.306222004026527,,7.2888563368055515,9.697471788194441,12.59382595486111,6.1575520833333215,11.670562065972234,3.3891927083333258,7.650629340277767,10.161143663194451,10.112510850694445,12.132194010416672,7.9275119357638815,10.206781684027781,5.94534505208334,6.307118055555556,3.483463541666662,4.204682074652791,1.9710503472222207
18,9.828884548611114,True,0.2804843653436945,,2.99189995659723,8.377810329861113,12.186545138888892,7.043207465277771,10.185763888888886,8.165766059027781,9.047037760416671,9.752419704861111,10.092632378472224,11.186154513888889,7.710508897569442,1.6631184895833329,0.7818467881944429,6.836984592013884,-0.26374782986111,3.475645616319447,1.4337348090277775
