source_file,confirm_id,condition,baseline_replicate,target_tolerance,actual_viability,constant_viability,identity_viability,value_of_information,target_viability,target_reached,censoring,semantic_information,semantic_lower_bound,max_retained_information,baseline_information,identity_information,identity_information_recovered,identity_viability_recovered,n_unique_maps,n_continuation_rows,min_continuations_per_map,max_continuations_per_map
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r00,0.01,12.694487847222224,8.208448350694447,12.694487847222224,4.486039496527777,12.649627452256944,True,none,0.3212466844411235,,0.3212466844411235,0.3212466844411235,0.3212466844411235,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r01,0.01,12.616206597222224,8.176846788194446,12.616206597222224,4.439359809027778,12.571812999131946,True,none,0.3257764357010603,,0.3257764357010603,0.3257764357010603,0.3257764357010603,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r02,0.01,12.643871527777778,8.19701388888889,12.643871527777778,4.446857638888888,12.599402951388887,True,none,0.3211594196270046,,0.3211594196270046,0.3211594196270046,0.3211594196270046,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r03,0.01,12.63880859375,8.191421440972222,12.63880859375,4.447387152777777,12.594334722222222,True,none,0.3197150795258143,,0.3197150795258143,0.3197150795258143,0.3197150795258143,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r04,0.01,12.67982855902778,8.184335937499998,12.67982855902778,4.495492621527781,12.634873632812502,True,none,0.3183725451901149,,0.3183725451901149,0.3183725451901149,0.3183725451901149,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r05,0.01,12.636540798611112,8.16259331597222,12.636540798611112,4.473947482638891,12.591801323784722,True,none,0.3151292196102876,,0.3151292196102876,0.3151292196102876,0.3151292196102876,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r06,0.01,12.68238498263889,8.233407118055556,12.68238498263889,4.448977864583334,12.637895203993056,True,none,0.321998436924683,,0.321998436924683,0.321998436924683,0.321998436924683,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D0,selective,D0_r07,0.01,12.67504557291667,8.203489583333333,12.67504557291667,4.4715559895833366,12.630330013020837,True,none,0.3176800486041587,,0.3176800486041587,0.3176800486041587,0.3176800486041587,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r00,0.01,59.444580078125,40.231298828125006,59.444580078125,19.213281249999994,59.252447265625,True,none,0.3079143830573394,,0.3079143830573394,0.3079143830573394,0.3079143830573394,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r01,0.01,58.92091471354167,40.2671875,58.92091471354167,18.65372721354167,58.73437744140625,True,none,0.2718975802975821,,0.2718975802975821,0.2718975802975821,0.2718975802975821,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r02,0.01,59.69469401041667,40.18177083333333,59.69469401041667,19.512923177083337,59.49956477864583,True,none,0.3135163836416478,,0.3135163836416478,0.3135163836416478,0.3135163836416478,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r03,0.01,60.675439453124994,40.385400390624994,60.675439453124994,20.2900390625,60.4725390625,True,none,0.300658127436586,,0.300658127436586,0.300658127436586,0.300658127436586,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r04,0.01,56.920849609375,40.17464192708333,56.920849609375,16.74620768229167,56.75338753255208,True,none,0.2858631698935974,,0.2858631698935974,0.2858631698935974,0.2858631698935974,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r05,0.01,57.92955729166666,40.167431640625,57.92955729166666,17.762125651041664,57.75193603515625,True,none,0.2758901571400171,,0.2758901571400171,0.2758901571400171,0.2758901571400171,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r06,0.01,56.244417317708326,40.248453776041664,56.244417317708326,15.99596354166666,56.08445768229166,True,none,0.2751514716399015,,0.2751514716399015,0.2751514716399015,0.2751514716399015,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D1,selective,D1_r07,0.01,58.735205078125006,40.208642578124994,58.735205078125006,18.52656250000001,58.549939453125006,True,none,0.2896683218519399,,0.2896683218519399,0.2896683218519399,0.2896683218519399,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r00,0.01,44.66110026041666,44.40412326388889,44.66110026041666,0.2569769965277686,44.65853049045138,True,none,0.3617975519940633,,0.3617975519940633,0.3617975519940633,0.3617975519940633,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r01,0.01,44.68943142361111,44.39917534722223,44.68943142361111,0.2902560763888857,44.686528862847226,True,none,0.359150486724463,,0.359150486724463,0.359150486724463,0.359150486724463,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r02,0.01,44.636197916666674,44.39310980902778,44.636197916666674,0.24308810763889,44.63376703559029,True,none,0.3700405369437991,,0.3700405369437991,0.3700405369437991,0.3700405369437991,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r03,0.01,44.65413411458333,44.40284288194444,44.65413411458333,0.2512912326388914,44.65162120225694,True,none,0.3663259399130379,,0.3663259399130379,0.3663259399130379,0.3663259399130379,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r04,0.01,44.560644531250006,44.42468532986111,44.560644531250006,0.1359592013888999,44.55928493923612,True,none,0.3494281922295927,,0.3494281922295927,0.3494281922295927,0.3494281922295927,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r05,0.01,44.68184678819445,44.453515625,44.68184678819445,0.2283311631944471,44.67956347656251,True,none,0.3768828261704664,,0.3768828261704664,0.3768828261704664,0.3768828261704664,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r06,0.01,44.57253689236112,44.36209852430555,44.57253689236112,0.2104383680555628,44.57043250868056,True,none,0.2127003218556339,,0.36221953598054,0.36221953598054,0.36221953598054,True,True,34,70,2,2
results/phase6_generality/stage_d_replicate_summary.csv,D2,selective,D2_r07,0.01,44.52101779513889,44.36163194444445,44.52101779513889,0.1593858506944414,44.519423936631945,True,none,0.2193344335305268,,0.3533933563149228,0.3533933563149228,0.3533933563149228,True,True,34,70,2,2
