source_file,inherit_prob,retained_information,point_viability,point_map_hash,point_method,point_endpoint_type,n_maps_at_coordinate,frontier_viability,frontier_source_map_hash,frontier_source_method,frontier_source_endpoint_type,condition,baseline_replicate,target_viability,target_reached
results/phase4_core/replicate_frontiers.csv,0.1,0.0042531932723493,27.17932942708333,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,contiguous_substring,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0072953236076251,27.17932942708333,c65bd191d1da1176a8030b84146455e1d1f9bf63bb8d4993a72ab07906c80b78,balanced_random_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0076667013535731,27.17932942708333,a08bb91ec0e66d0b3afe5332032fd3fb6769016bc04c2710b5e01a8e599df454,affinity_rank_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0146692066368738,27.17932942708333,6ac4e014d135d7a7fbd4592fdf320f48570dc4bce5e1a5c2ca6054715b80f98a,affinity_rank_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0150643456132281,27.17932942708333,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,contiguous_substring,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0151975377317094,27.17932942708333,6ff19e1927dcafbb441ab0b4a0a61b92d1295d402f3277307a3f5b9d7850b98a,contiguous_substring,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0152886390111172,27.17932942708333,54146794238237c8e13f9205ac93004ce5acfdbc51f3cd9b991ee15e2a36f684,balanced_random_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0167221393826654,27.17932942708333,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,contiguous_substring,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.028620943835285,27.17932942708333,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,affinity_rank_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0312693499303842,27.17932942708333,e179435da112ea8d971ae26891de689741e68338ddf13a7241197cfbaded0b83,balanced_random_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0609123416742278,27.17932942708333,cf78b05538711825e0795152b13c3d2c15b5cd16f89c1995f7b006d8bc57c6a2,affinity_rank_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0616794624460229,27.17932942708333,e471d7c08820922fc6c21006a6b4685c49e9368d31cd4fbe021c3167456046e0,balanced_random_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0641983219188843,27.17932942708333,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.0662800892242899,27.17932942708333,ef835eb9c371f618c6958654a7d25a1df1d12c09a53ecf66f9209fb882a8542d,contiguous_substring,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.1366481940524751,27.17932942708333,24a6acb87a7364b0b1cbbe6fecc84df53e5243c78a06a6c6c4e7354b3e359435,affinity_rank_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.1372385821934223,27.17932942708333,3394d1cdf22e9723777f99c632a137ebcd7b9bff50e9406fa9f5a34da26ac720,balanced_random_group,intermediate,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
results/phase4_core/replicate_frontiers.csv,0.1,0.2819907697514612,27.17932942708333,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,identity,identity,1,27.17932942708333,9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47,constant,constant,control,control_p0.1_r00,27.17932942708333,True
