source_file,condition,inherit_prob,replicate,baseline_replicate,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
results/phase4_core/baseline_information.csv,control,0.1,0,control_p0.1_r00,26.709375,0.0619230154101068,0.0663006888197957,0.2819907697514612,0.2852267097782074,0.0028186076921283,-0.0032359400267462
results/phase4_core/baseline_information.csv,control,0.1,1,control_p0.1_r01,26.63046875,0.0658308123793073,0.0640380354820638,0.285234141919272,0.2859036628699879,0.0027366683206639,-0.0006695209507159
results/phase4_core/baseline_information.csv,control,0.1,2,control_p0.1_r02,27.11484375,0.0671796745575386,0.0683050659596468,0.2894755848841978,0.2856668564175733,0.0026397361058935,0.0038087284666244
results/phase4_core/baseline_information.csv,control,0.1,3,control_p0.1_r03,27.3234375,0.0637477141753972,0.0631511229788775,0.2882695472885763,0.2860732055005938,0.0029048206325607,0.0021963417879825
results/phase4_core/baseline_information.csv,control,0.1,4,control_p0.1_r04,27.225,0.0648018180197837,0.0645193210605665,0.286511083956133,0.2859188416099253,0.0027602744204935,0.0005922423462076
results/phase4_core/baseline_information.csv,control,0.1,5,control_p0.1_r05,27.35078125,0.0671587486704906,0.0692710545155618,0.2866881327953254,0.2855031011897313,0.0031393066617542,0.0011850316055941
results/phase4_core/baseline_information.csv,control,0.1,6,control_p0.1_r06,26.7265625,0.0652881304592068,0.0653488556426921,0.2868726262264759,0.2856973234481418,0.0025565121759212,0.001175302778334
results/phase4_core/baseline_information.csv,control,0.1,7,control_p0.1_r07,26.78046875,0.0619307278895632,0.0650471715834001,0.2813724754990932,0.2860682209952975,0.0025935931269781,-0.0046957454962042
results/phase4_core/baseline_information.csv,control,0.1,8,control_p0.1_r08,26.99609375,0.0647882872000311,0.0659739772961015,0.2867024415728111,0.2858543630198528,0.0030590938595349,0.0008480785529582
results/phase4_core/baseline_information.csv,control,0.1,9,control_p0.1_r09,27.2265625,0.0666063892630637,0.064492504262985,0.2916333740252769,0.2856281346868007,0.0027777718301858,0.0060052393384761
results/phase4_core/baseline_information.csv,control,0.1,10,control_p0.1_r10,27.72421875,0.0609528545456571,0.0627572292392744,0.2849382082402262,0.2865387053401823,0.0027648597589791,-0.0016004970999561
results/phase4_core/baseline_information.csv,control,0.1,11,control_p0.1_r11,27.25390625,0.0651834800670647,0.0623661746167101,0.2861736977652341,0.2862031962975145,0.0027710661766759,-2.949853228040311e-05
results/phase4_core/baseline_information.csv,control,0.1,12,control_p0.1_r12,26.778125,0.062518014005639,0.0621878633955768,0.2839354585964659,0.2862191730340979,0.00290990949995,-0.0022837144376319
results/phase4_core/baseline_information.csv,control,0.1,13,control_p0.1_r13,27.35546875,0.0639530111729072,0.0639446578565043,0.2877566185676902,0.2863675408580969,0.0027417018541455,0.0013890777095932
results/phase4_core/baseline_information.csv,control,0.1,14,control_p0.1_r14,26.89453125,0.0609832566751838,0.0641154770916721,0.2827534680433859,0.2859964940620638,0.0029143472493536,-0.0032430260186779
results/phase4_core/baseline_information.csv,control,0.1,15,control_p0.1_r15,27.14609375,0.0618914666738136,0.0636761389136892,0.2842642042908043,0.2858411730201013,0.0029159024415476,-0.0015769687292969
results/phase4_core/baseline_information.csv,control,0.1,16,control_p0.1_r16,26.88984375,0.0661852492659027,0.0650642207767619,0.287774723012522,0.2855578696825744,0.002782239920165,0.0022168533299475
results/phase4_core/baseline_information.csv,control,0.1,17,control_p0.1_r17,27.6671875,0.0619137446477501,0.0642689105174779,0.2866005535586039,0.2860182951186315,0.0027691040682599,0.0005822584399723
results/phase4_core/baseline_information.csv,control,0.1,18,control_p0.1_r18,26.90546875,0.0623032148664932,0.0627397703580588,0.2898757278138869,0.2857333210133379,0.0029175137627406,0.004142406800549
results/phase4_core/baseline_information.csv,control,0.1,19,control_p0.1_r19,26.8859375,0.0611189906469565,0.0614171813663303,0.2813511028980044,0.2859394788563532,0.0029242586695175,-0.0045883759583487
results/phase4_core/baseline_information.csv,control,0.2,0,control_p0.2_r00,27.21640625,0.0669911279408629,0.0669247334072133,0.2871078151513689,0.2856861551410636,0.0027141958828564,0.0014216600103053
results/phase4_core/baseline_information.csv,control,0.2,1,control_p0.2_r01,27.58203125,0.0660597847592741,0.0689744613659777,0.2864371703881275,0.2856126249566834,0.0025741787750193,0.000824545431444
results/phase4_core/baseline_information.csv,control,0.2,2,control_p0.2_r02,27.259375,0.0682316060970023,0.0723914876015772,0.2861076817069148,0.2854913414255702,0.0026890519177133,0.0006163402813446
results/phase4_core/baseline_information.csv,control,0.2,3,control_p0.2_r03,27.403125,0.0659854824256871,0.0698169686452237,0.2919821846518974,0.2856648172348741,0.0027998625095746,0.0063173674170233
results/phase4_core/baseline_information.csv,control,0.2,4,control_p0.2_r04,26.94765625,0.0640891106810213,0.0680562090039635,0.28740727888166,0.2853220057352661,0.0028477607923474,0.0020852731463939
results/phase4_core/baseline_information.csv,control,0.2,5,control_p0.2_r05,26.91640625,0.0626147276640085,0.0620959808354401,0.2882210329599962,0.286032748290565,0.002895446639375,0.0021882846694311
results/phase4_core/baseline_information.csv,control,0.2,6,control_p0.2_r06,26.31875,0.0626672369633528,0.0671286429506675,0.2840215674311043,0.2855039214568077,0.0025601649784972,-0.0014823540257033
results/phase4_core/baseline_information.csv,control,0.2,7,control_p0.2_r07,27.23046875,0.0609165747932365,0.0659509880395489,0.2849012120413732,0.2860184484832275,0.0027906718539637,-0.0011172364418543
results/phase4_core/baseline_information.csv,control,0.2,8,control_p0.2_r08,27.24921875,0.0669437941634363,0.0686390931817205,0.285087727647132,0.2849596399689354,0.0028383391203382,0.0001280876781966
results/phase4_core/baseline_information.csv,control,0.2,9,control_p0.2_r09,27.31171875,0.0658655539786459,0.0721200139761919,0.283084834038329,0.2852910402086346,0.0028083776578385,-0.0022062061703055
results/phase4_core/baseline_information.csv,control,0.2,10,control_p0.2_r10,27.06953125,0.0685154943925584,0.0715527294431299,0.2827763485884529,0.2854723529823099,0.0027360403335314,-0.0026960043938569
results/phase4_core/baseline_information.csv,control,0.2,11,control_p0.2_r11,27.38359375,0.0647511787042294,0.0717702828529757,0.2791198312210437,0.2852825299682845,0.0026700436169715,-0.0061626987472407
results/phase4_core/baseline_information.csv,control,0.2,12,control_p0.2_r12,26.23359375,0.0622010042542012,0.0676092611898284,0.2836779300971178,0.2852848644842299,0.0027571665529817,-0.0016069343871121
results/phase4_core/baseline_information.csv,control,0.2,13,control_p0.2_r13,27.90546875,0.0647507970245101,0.070274358583744,0.2844822166531733,0.2855782049037549,0.0029157513166304,-0.0010959882505816
results/phase4_core/baseline_information.csv,control,0.2,14,control_p0.2_r14,26.74609375,0.0678980760158942,0.0712201188253617,0.2854046018256205,0.2854957325614989,0.0028759014139688,-9.11307358784086e-05
results/phase4_core/baseline_information.csv,control,0.2,15,control_p0.2_r15,27.66484375,0.0638834082237366,0.0658756614578948,0.2856783492214024,0.2855554850014686,0.0026496286319357,0.0001228642199338
results/phase4_core/baseline_information.csv,control,0.2,16,control_p0.2_r16,27.2390625,0.0642946278250288,0.0657299617861009,0.2876386511016708,0.2855507196289312,0.0025665390373356,0.0020879314727395
results/phase4_core/baseline_information.csv,control,0.2,17,control_p0.2_r17,27.11640625,0.060008937078722,0.064573697732617,0.2835042204094354,0.285677873130333,0.0027170151703856,-0.0021736527208976
results/phase4_core/baseline_information.csv,control,0.2,18,control_p0.2_r18,26.915625,0.0684656003558051,0.0672074026858166,0.2855415201079374,0.2857039760425046,0.0028646955838747,-0.0001624559345672
results/phase4_core/baseline_information.csv,control,0.2,19,control_p0.2_r19,26.95,0.065571724690698,0.0686415731544037,0.2847763196827141,0.2852229251726854,0.0030789811459017,-0.0004466054899713
results/phase4_core/baseline_information.csv,control,0.3,0,control_p0.3_r00,26.3375,0.0673091352377451,0.0747237924963083,0.2855447087520524,0.2850672268274559,0.0028160864468072,0.0004774819245965
results/phase4_core/baseline_information.csv,control,0.3,1,control_p0.3_r01,27.50546875,0.0678961938239739,0.0782216957120768,0.2880054231947624,0.2847685797329452,0.0029581797397324,0.0032368434618171
