source_file,design_id,stage,family,spec_json,n,identity_exact,corrected_information_mean,corrected_information_low,corrected_information_high,value_of_information_mean,value_of_information_low,value_of_information_high,adaptive_gain_mean,adaptive_gain_low,adaptive_gain_high,regime,boundary_distance,provisional,depth
results/phase6_generality/stage_ab_summary.csv,A_p2_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.250743145781289,0.2476593717168706,0.2523335061021182,6.472913953993056,6.4267686631944425,6.523828125000005,0.1279166666666675,0.0498828125000052,0.2486067708333318,R2_viability_relevant,0.8720833333333324,R2_viability_relevant,0.8720833333333324
results/phase6_generality/stage_ab_summary.csv,A_p2_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.4648630283582713,0.4617320798109025,0.4679939769056403,10.429793294270834,10.33439127604167,10.5251953125,0.0625390625000008,-0.0722721354166661,0.2517773437499979,R2_viability_relevant,0.9374609374999991,R2_viability_relevant,0.9374609374999991
results/phase6_generality/stage_ab_summary.csv,A_p3_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.85, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0002529039647193,-0.0010042452542013,0.0013537185692952,0.0,0.0,0.0,0.0177539062499984,-0.007031249999998,0.0522591145833297,R0_null,0.9747096035280632,R0_null,0.9747096035280632
results/phase6_generality/stage_ab_summary.csv,A_p3_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.85, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0712541547495812,0.0689992504965202,0.0736044196508644,2.289336480034723,2.1804547797309057,2.405194769965277,0.1442057291666678,0.077747395833338,0.2106640624999975,R2_viability_relevant,0.8557942708333321,R2_viability_relevant,0.8557942708333321
results/phase6_generality/stage_ab_summary.csv,A_p3_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.85, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2507533190550802,0.2463857963657692,0.2550844503412306,6.852536349826387,6.594102647569441,7.152802191840275,0.1937955729166649,-0.1813997395833321,0.6257169596354015,R2_viability_relevant,0.8062044270833351,R2_viability_relevant,0.8062044270833351
results/phase6_generality/stage_ab_summary.csv,A_p3_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.85, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.4611700762947096,0.4570197296078488,0.4653204229815705,10.65177680121528,10.548562282986111,10.841908094618056,0.2300455729166674,0.0765494791666654,0.3835416666666695,R2_viability_relevant,0.7699544270833325,R2_viability_relevant,0.7699544270833325
results/phase6_generality/stage_ab_summary.csv,A_p4_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0009527244339024,-0.0023319636851246,0.0042721645983018,0.0,0.0,0.0,-0.1086588541666672,-0.1698697916666631,-0.0459830729166714,R0_null,0.9047275566097548,R0_null,0.9047275566097548
results/phase6_generality/stage_ab_summary.csv,A_p4_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0713919522224453,0.0665905858165845,0.0750141193138046,2.751817491319445,2.638129340277781,2.865505642361109,0.4743945312500024,0.2848437500000003,0.6639453125000045,R2_viability_relevant,0.5256054687499976,R2_viability_relevant,0.5256054687499976
results/phase6_generality/stage_ab_summary.csv,A_p4_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2633623449572388,0.2558047598171173,0.270859693567393,8.071638997395834,7.45836046006944,8.84809299045139,0.7323046874999992,0.3307812499999975,1.171966145833336,R2_viability_relevant,0.2676953125000008,R2_viability_relevant,0.2676953125000008
results/phase6_generality/stage_ab_summary.csv,A_p4_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.925, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.4859546971391378,0.4784565586858016,0.494920722338342,13.237201605902774,11.688178168402777,15.300184461805555,1.6700325520833277,0.295442708333324,3.5839648437499942,R2_viability_relevant,0.6700325520833275,R3_strong_adaptation,0.6700325520833275
results/phase6_generality/stage_ab_summary.csv,A_p5_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",4,True,-7.235599964002503e-05,-0.0008828778017176,0.0007195245845478,0.0,0.0,0.0,-0.0277278645833351,-0.0912890624999977,0.0681184895833269,R0_null,1.0,R0_null,1.0072355999640026
results/phase6_generality/stage_ab_summary.csv,A_p5_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0823952738539159,0.0786941717630747,0.0871335463354902,5.208200412326389,5.000895182291664,5.491935221354167,2.3325781249999986,1.9903515624999957,2.686933593750002,R3_strong_adaptation,1.3325781249999986,R3_strong_adaptation,1.3325781249999986
results/phase6_generality/stage_ab_summary.csv,A_p5_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.3103335415824128,0.2865796721834492,0.3311547038660186,12.582885742187496,11.801828342013886,13.95650499131944,4.423411458333328,3.2696354166666595,6.22833333333333,R3_strong_adaptation,3.4234114583333284,R3_strong_adaptation,3.4234114583333284
results/phase6_generality/stage_ab_summary.csv,A_p5_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 1.0, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.5484709360327173,0.5033082207705415,0.5936336512948933,20.27495659722222,19.15462239583333,21.40526258680556,7.116406249999995,5.302044270833328,9.27924479166666,R3_strong_adaptation,6.116406249999995,R3_strong_adaptation,6.116406249999995
results/phase6_generality/stage_ab_summary.csv,B1_00,B1,,"{""b_ratio"": 1.68712277414399, ""bias"": 2.1013744880694607, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.003470896799972403, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.573910396947187, ""penalty"": 0.6550300913562529, ""penalty_ratio"": 0.44077409157262504, ""reward"": 1.4860902759034456, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.4675446987949989, ""sigma_ratio"": 0.37537588551958323, ""stride"": 5, ""temperature"": 1.2455373848744666}",3,True,0.018988059382917,0.013322671586319,0.0220164030781999,0.112585149100046,0.103355512633565,0.1181824423555388,0.0168331140451061,0.0059958942084072,0.0248568058818889,R1_syntactic_only,0.5496594035998157,R1_syntactic_only,0.5496594035998157
results/phase6_generality/stage_ab_summary.csv,B1_01,B1,,"{""b_ratio"": 0.6745424283567947, ""bias"": 0.8812646606938667, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.005270512983537687, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 6, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.5266834489032199, ""penalty"": 0.3816602313376986, ""penalty_ratio"": 0.13707136051167254, ""reward"": 2.784390772171534, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.23123623692935935, ""sigma_ratio"": 0.17699410828479933, ""stride"": 5, ""temperature"": 1.3064629052921897}",3,True,0.0035985141195326,0.0014016491458406,0.0047264854651309,0.0001059706410893,-0.0003565870227307,0.0007404088889908,4.832790864400052e-06,-0.0044406773898124,0.0054747327405828,R0_null,0.64014858804674,R0_null,0.64014858804674
results/phase6_generality/stage_ab_summary.csv,B1_02,B1,,"{""b_ratio"": 1.8100040299287956, ""bias"": 2.663293082126484, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.002088820851955816, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 2, ""n_seqs"": 8, ""p"": 0.6769555038173478, ""penalty"": 0.36989230229557657, ""penalty_ratio"": 0.36222571409895454, ""reward"": 1.021165223500747, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.3179711001009793, ""sigma_ratio"": 0.8957080309793586, ""stride"": 1, ""temperature"": 1.47142936595078}",3,True,0.2171965915275076,0.2129366565996739,0.2200083358780936,4.684855729185138,4.643501477918045,4.711686843913813,-0.1013196324494257,-0.2761793456264687,0.0456395232852298,R2_viability_relevant,1.1013196324494257,R2_viability_relevant,1.1013196324494257
results/phase6_generality/stage_ab_summary.csv,B1_03,B1,,"{""b_ratio"": 0.8049187981065451, ""bias"": 1.2317138322537402, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0098447672782584, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.9221890529423158, ""penalty"": 0.6854429286764818, ""penalty_ratio"": 0.2583020155205691, ""reward"": 2.6536491683778545, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.48270847968843666, ""sigma_ratio"": 0.31544756511804145, ""stride"": 1, ""temperature"": 1.5302336523276243}",3,True,0.0301863121400387,0.0265747680776641,0.033247311371982,0.0107334331050311,0.008179683730374,0.0122267633088677,-0.00330371760596,-0.0075052064853524,-0.0008189120954267,R1_syntactic_only,0.9570662675798756,R1_syntactic_only,0.9570662675798756
results/phase6_generality/stage_ab_summary.csv,B1_04,B1,,"{""b_ratio"": 0.3486786964402718, ""bias"": 0.5672750572311464, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.0004548484908839134, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4132892346669069, ""penalty"": 0.6261642305438038, ""penalty_ratio"": 0.32566790330503453, ""reward"": 1.9227078388419245, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0698950358755535, ""sigma_ratio"": 0.6576167974982903, ""stride"": 5, ""temperature"": 1.6269277791346792}",3,True,0.214445852878021,0.2062256593179766,0.2188321808839451,0.0355944731646836,0.0325500054481402,0.0376058872830853,0.0225486257850295,-0.0066906537424547,0.0680675737568936,R1_syntactic_only,0.8576221073412653,R1_syntactic_only,0.8576221073412653
results/phase6_generality/stage_ab_summary.csv,B1_05,B1,,"{""b_ratio"": 0.1093673333098307, ""bias"": 0.17457948265469816, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0005713501507091968, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.8472310620440695, ""penalty"": 0.1913976042282789, ""penalty_ratio"": 0.15585300338192654, ""reward"": 1.2280649077980763, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.5481866023906559, ""sigma_ratio"": 0.9698793786917923, ""stride"": 5, ""temperature"": 1.5962671610555375}",3,True,0.2523229405157099,0.2377523955070902,0.2750156079503341,0.0022454091242644,-0.0009508228885622,0.0043033527477011,0.0004125791582369,-0.0007681877955081,0.0025228470632188,R1_syntactic_only,0.9910183635029424,R1_syntactic_only,0.9910183635029424
results/phase6_generality/stage_ab_summary.csv,B1_06,B1,,"{""b_ratio"": 2.706729471714167, ""bias"": 3.287253126583312, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.00297897213265309, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.7312723714383104, ""penalty"": 0.9038251479307287, ""penalty_ratio"": 0.38969257239241206, ""reward"": 2.3193286502278934, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.6148395087594845, ""sigma_ratio"": 1.3296614292038904, ""stride"": 5, ""temperature"": 1.2144742062092746}",3,True,0.1751728248911785,0.1588949755823755,0.1867153698366467,3.248201238423937,2.939628491692199,3.513147589107206,0.3549065467665479,0.2306695051188406,0.4525213836192954,R2_viability_relevant,0.645093453233452,R2_viability_relevant,0.645093453233452
