design_id,stage,family,replicate,spec_json,corrected_information,conditional_information,permutation_mean,value_of_information,adaptive_gain,final_mean_fitness,identity_exact,state_hash,trajectory_hash
B1_03,B1,,1,"{""b_ratio"": 0.8049187981065451, ""bias"": 1.2317138322537402, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0098447672782584, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.9221890529423158, ""penalty"": 0.6854429286764818, ""penalty_ratio"": 0.2583020155205691, ""reward"": 2.6536491683778545, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.48270847968843666, ""sigma_ratio"": 0.31544756511804145, ""stride"": 1, ""temperature"": 1.5302336523276243}",0.033247311371982,0.4917116290911976,0.4584643177192155,0.0122267633088677,-0.0015870342371011,1.796145760673242,True,1e18b5d05e34c29197999197e19561ad28f2e39d325ecb4067046b5be8c87bdc,e38727c5e82e75ee119d4cdbd3d19ce96440615282cb3c202c546e98ef0dd181
B1_03,B1,,2,"{""b_ratio"": 0.8049187981065451, ""bias"": 1.2317138322537402, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0098447672782584, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.9221890529423158, ""penalty"": 0.6854429286764818, ""penalty_ratio"": 0.2583020155205691, ""reward"": 2.6536491683778545, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.48270847968843666, ""sigma_ratio"": 0.31544756511804145, ""stride"": 1, ""temperature"": 1.5302336523276243}",0.0265747680776641,0.4654481561072143,0.4388733880295502,0.0117938522758517,-0.0075052064853524,1.809430782484348,True,67d15d55ff8847dbfbff68237bc0f6f883e6809aa5590f0497545232b0dbef28,d3a2a2eb0ae1f4a4f1b3d3828afdbcbb8a3877f3a002244dd118b4dae2a37e8a
B1_04,B1,,0,"{""b_ratio"": 0.3486786964402718, ""bias"": 0.5672750572311464, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.0004548484908839134, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4132892346669069, ""penalty"": 0.6261642305438038, ""penalty_ratio"": 0.32566790330503453, ""reward"": 1.9227078388419245, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0698950358755535, ""sigma_ratio"": 0.6576167974982903, ""stride"": 5, ""temperature"": 1.6269277791346792}",0.2062256593179766,0.3641538444073306,0.157928185089354,0.0376058872830853,0.0062689573406498,8.659228031518442,True,f92451cd93d087eddc497ef49192f09c5ec1cfe6de0a3ad2287a867112a709e3,2695d6ec18cf5c3fff4a431d6f98b0ec41fcb78712f2066b9b70f76a7ebe8b28
B1_04,B1,,1,"{""b_ratio"": 0.3486786964402718, ""bias"": 0.5672750572311464, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.0004548484908839134, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4132892346669069, ""penalty"": 0.6261642305438038, ""penalty_ratio"": 0.32566790330503453, ""reward"": 1.9227078388419245, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0698950358755535, ""sigma_ratio"": 0.6576167974982903, ""stride"": 5, ""temperature"": 1.6269277791346792}",0.2188321808839451,0.3769289452375147,0.1580967643535696,0.0325500054481402,-0.0066906537424547,8.874985561680525,True,bd5fde885998fad69e19c36d5e7eb7aea5b8c86f795104ca2a85e6c2617c3aff,148ebb72a207ee5b9583c86505d9ee43144b912c6cbbe43542b7e11452bf6550
B1_04,B1,,2,"{""b_ratio"": 0.3486786964402718, ""bias"": 0.5672750572311464, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.0004548484908839134, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4132892346669069, ""penalty"": 0.6261642305438038, ""penalty_ratio"": 0.32566790330503453, ""reward"": 1.9227078388419245, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0698950358755535, ""sigma_ratio"": 0.6576167974982903, ""stride"": 5, ""temperature"": 1.6269277791346792}",0.2182797184321414,0.3771171504609305,0.158837432028789,0.0366275267628255,0.0680675737568936,8.859751560554525,True,606a93d99645b22af9b64d273680b5f4106d680b2db43152fd10a683b5b13070,79d437974799df14c40cd84ed8b8c581e8d7347fa3fe8ac953f5efac7f528394
B1_05,B1,,0,"{""b_ratio"": 0.1093673333098307, ""bias"": 0.17457948265469816, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0005713501507091968, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.8472310620440695, ""penalty"": 0.1913976042282789, ""penalty_ratio"": 0.15585300338192654, ""reward"": 1.2280649077980763, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.5481866023906559, ""sigma_ratio"": 0.9698793786917923, ""stride"": 5, ""temperature"": 1.5962671610555375}",0.2750156079503341,1.0367021092532245,0.7616865013028904,0.0033836975136544,-0.0005169217929998,1.5553663537101097,True,cfdd04ccd2bdb8c449c34b5dc9cc92b7d02debcbd53f220cea8c1129e4ae88cf,f786a611e368a6f43c7f1565064fb313cd7c5d021595caf4c2d2043365536783
B1_05,B1,,1,"{""b_ratio"": 0.1093673333098307, ""bias"": 0.17457948265469816, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0005713501507091968, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.8472310620440695, ""penalty"": 0.1913976042282789, ""penalty_ratio"": 0.15585300338192654, ""reward"": 1.2280649077980763, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.5481866023906559, ""sigma_ratio"": 0.9698793786917923, ""stride"": 5, ""temperature"": 1.5962671610555375}",0.2442008180897057,0.9670905727804032,0.7228897546906974,-0.0009508228885622,0.0025228470632188,1.54669173497544,True,2ac88d0ab362813ba1bbdd0e5dcb3b637f27e03ba33f41b329aa2451b91d78c3,bf842ed53bc6983215f6586609df5f844a1fe320795a7e6958440dd3c959cefd
B1_05,B1,,2,"{""b_ratio"": 0.1093673333098307, ""bias"": 0.17457948265469816, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0005713501507091968, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.8472310620440695, ""penalty"": 0.1913976042282789, ""penalty_ratio"": 0.15585300338192654, ""reward"": 1.2280649077980763, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.5481866023906559, ""sigma_ratio"": 0.9698793786917923, ""stride"": 5, ""temperature"": 1.5962671610555375}",0.2377523955070902,1.0371240371553805,0.79937164164829,0.0043033527477011,-0.0007681877955081,1.543402219376517,True,5ffd38e01d2c3622f247e19d0ff201b56843f646a0575cc2c28ec1fd61ec17bc,496479672e2a5aab0c88c2beee31c54fa4ab23e8aef5bc116a93a807e7a88006
B1_06,B1,,0,"{""b_ratio"": 2.706729471714167, ""bias"": 3.287253126583312, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.00297897213265309, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.7312723714383104, ""penalty"": 0.9038251479307287, ""penalty_ratio"": 0.38969257239241206, ""reward"": 2.3193286502278934, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.6148395087594845, ""sigma_ratio"": 1.3296614292038904, ""stride"": 5, ""temperature"": 1.2144742062092746}",0.1867153698366467,0.7127438659402988,0.5260284961036521,3.2918276344724067,0.2306695051188407,5.387946221026322,True,beaa5a426881ea261a7e977f46b6ced400bf196769fc9acd39c7aa2f84644ebd,a0304bc94bfbf4d6ff2d830155295743b2810d04043242ea9e7124c40e20f9bf
B1_06,B1,,1,"{""b_ratio"": 2.706729471714167, ""bias"": 3.287253126583312, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.00297897213265309, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.7312723714383104, ""penalty"": 0.9038251479307287, ""penalty_ratio"": 0.38969257239241206, ""reward"": 2.3193286502278934, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.6148395087594845, ""sigma_ratio"": 1.3296614292038904, ""stride"": 5, ""temperature"": 1.2144742062092746}",0.1799081292545135,0.6844274936617393,0.5045193644072258,3.513147589107206,0.3815287515615075,5.606246670903061,True,6d129b71d30114670bcccfad87816ad42f13cef3284fa47435eb42d47090a9b6,fbc1c82776ee8affdad915b9aa8aa7576d60735f035267b3114ed33d2ebf0c65
