design_id,stage,family,spec_json,n,identity_exact,corrected_information_mean,corrected_information_low,corrected_information_high,value_of_information_mean,value_of_information_low,value_of_information_high,adaptive_gain_mean,adaptive_gain_low,adaptive_gain_high,regime,boundary_distance,provisional,depth,b_ratio,bias,fitness_mode,floor,jitter,motif_length,mutation_rate,n_cells,n_gens,n_metabolites,n_segments,n_seqs,p,penalty,penalty_ratio,reward,segment_order,seq_len,sigma,sigma_ratio,stride,temperature
A_p0_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.2462096444973646,0.2422162706849899,0.2502030183097393,6.343665907118055,6.279558648003474,6.407731119791663,0.0011848958333331,-0.0804166666666645,0.0651697591145843,R2_viability_relevant,0.9988151041666667,R2_viability_relevant,0.9988151041666667,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.4,0.5,0.25,2.0,native,60,1.08,0.9,1,1.2
A_p0_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.4674612915600031,0.4647100891590549,0.4700965036884456,10.203773328993057,10.130685763888888,10.285845269097225,-0.0334049479166704,-0.0519726562500046,-0.0159895833333365,R2_viability_relevant,1.0334049479166705,R2_viability_relevant,1.0334049479166705,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.4,0.5,0.25,2.0,native,60,1.62,1.35,1,1.2
A_p1_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0011825647555865,-0.0005469768412956,0.0029121063524687,0.0,0.0,0.0,-0.0873632812500044,-0.175677083333336,-0.0062434895833396,R0_null,0.8817435244413463,R0_null,0.8817435244413463,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.6,0.5,0.25,2.0,native,60,0.0,0.0,1,1.2
A_p1_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0681544044030033,0.0657920518670084,0.0706644327688055,2.1108344184027743,2.092361111111108,2.129307725694441,-0.0807421875000002,-0.1394921875000001,-0.0354427083333329,R2_viability_relevant,1.0807421875000005,R2_viability_relevant,1.0807421875000005,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.6,0.5,0.25,2.0,native,60,0.54,0.45,1,1.2
A_p1_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.249212101469834,0.2441579898975315,0.2527268969568549,6.399918619791666,6.3487811957465246,6.450957573784722,-0.0752864583333305,-0.1449088541666618,-0.0056640624999993,R2_viability_relevant,1.0752864583333306,R2_viability_relevant,1.0752864583333306,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.6,0.5,0.25,2.0,native,60,1.08,0.9,1,1.2
A_p1_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.6, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.4634110702127696,0.4619641054077881,0.4650366154798183,10.23070746527778,10.160205078125,10.337706163194447,-0.0457617187499934,-0.0886523437499952,-0.0144270833333272,R2_viability_relevant,1.0457617187499937,R2_viability_relevant,1.0457617187499937,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.6,0.5,0.25,2.0,native,60,1.62,1.35,1,1.2
A_p2_a0,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.0, ""sigma_ratio"": 0, ""stride"": 1, ""temperature"": 1.2}",4,True,0.0015756446332864,-0.0008608414680373,0.0028872813665275,0.0,0.0,0.0,0.0870768229166678,0.0376562500000039,0.129160156250001,R0_null,0.842435536671355,R0_null,0.842435536671355,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.75,0.5,0.25,2.0,native,60,0.0,0.0,1,1.2
A_p2_a1,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.54, ""sigma_ratio"": 0.45, ""stride"": 1, ""temperature"": 1.2}",4,True,0.068316082119029,0.065658565251737,0.0709735989863211,2.1638292100694447,2.069675021701389,2.235120985243056,0.0143489583333327,-0.0858984375000008,0.1765299479166637,R2_viability_relevant,0.9856510416666672,R2_viability_relevant,0.9856510416666672,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.75,0.5,0.25,2.0,native,60,0.54,0.45,1,1.2
A_p2_a2,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.08, ""sigma_ratio"": 0.9, ""stride"": 1, ""temperature"": 1.2}",4,True,0.250743145781289,0.2476593717168706,0.2523335061021182,6.472913953993056,6.4267686631944425,6.523828125000005,0.1279166666666675,0.0498828125000052,0.2486067708333318,R2_viability_relevant,0.8720833333333324,R2_viability_relevant,0.8720833333333324,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.75,0.5,0.25,2.0,native,60,1.08,0.9,1,1.2
A_p2_a3,A,,"{""b_ratio"": 1.6666666666666667, ""bias"": 2.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.75, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.62, ""sigma_ratio"": 1.35, ""stride"": 1, ""temperature"": 1.2}",4,True,0.4648630283582713,0.4617320798109025,0.4679939769056403,10.429793294270834,10.33439127604167,10.5251953125,0.0625390625000008,-0.0722721354166661,0.2517773437499979,R2_viability_relevant,0.9374609374999991,R2_viability_relevant,0.9374609374999991,1.6666666666666667,2.0,count,0.1,0,5,0.001,80,150,4,4,8,0.75,0.5,0.25,2.0,native,60,1.62,1.35,1,1.2
