confirm_id,retained_information,point_viability,point_map_hash,point_method,point_endpoint_type,n_maps_at_coordinate,frontier_viability,frontier_source_map_hash,frontier_source_method,frontier_source_endpoint_type,condition,baseline_replicate,target_viability,target_reached
D0,0.0053234797477012,8.265518663194445,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,contiguous_substring,intermediate,1,8.30591579861111,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.005943407060968,8.288120659722225,848d2d075b0b38086c555c9d0d8524dccec4f14f30d66b4673f732303caf3b02,balanced_random_group,intermediate,1,8.30591579861111,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0091534281227096,8.366375868055556,a08bb91ec0e66d0b3afe5332032fd3fb6769016bc04c2710b5e01a8e599df454,affinity_rank_group,intermediate,1,8.366375868055556,a08bb91ec0e66d0b3afe5332032fd3fb6769016bc04c2710b5e01a8e599df454,affinity_rank_group,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0108735977112411,8.371779513888889,8471d3b7d2a757d28b10f6d16b93b4054dd06f1fdee394c0a09cb0b6aab741ce,balanced_random_group,intermediate,1,8.371779513888889,8471d3b7d2a757d28b10f6d16b93b4054dd06f1fdee394c0a09cb0b6aab741ce,balanced_random_group,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0202458852763898,8.48356987847222,6ac4e014d135d7a7fbd4592fdf320f48570dc4bce5e1a5c2ca6054715b80f98a,affinity_rank_group,intermediate,1,8.48356987847222,6ac4e014d135d7a7fbd4592fdf320f48570dc4bce5e1a5c2ca6054715b80f98a,affinity_rank_group,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0206739007284631,8.490822482638889,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,contiguous_substring,intermediate,1,8.490822482638889,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0209220114623917,8.503346354166668,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,contiguous_substring,intermediate,1,8.503346354166668,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.021197172731582,8.466642795138888,6ff19e1927dcafbb441ab0b4a0a61b92d1295d402f3277307a3f5b9d7850b98a,contiguous_substring,intermediate,1,8.503346354166668,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0227169107493184,8.563068576388888,4f9b5634a7d1bdacc1d585643a286967dc0947786f9e18f05c5d84fe662c78d7,balanced_random_group,intermediate,1,8.563068576388888,4f9b5634a7d1bdacc1d585643a286967dc0947786f9e18f05c5d84fe662c78d7,balanced_random_group,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0430011049959745,8.851716579861112,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,affinity_rank_group,intermediate,1,8.851716579861112,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,affinity_rank_group,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0449976177212138,8.834379340277776,8c867de60c19d7bde11f4cc8d3068f7701c8f347c9f932320be77db3baf097e5,balanced_random_group,intermediate,1,8.851716579861112,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,affinity_rank_group,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0880796599264774,9.414819878472224,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,1,9.414819878472224,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0891671200920415,9.406816406250002,e0af73e8f613a1ebdf93671723d799f6c478b0888f37d40a4251e5bfa3441ce6,balanced_random_group,intermediate,1,9.414819878472224,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
D0,0.0926370122174385,9.408958333333334,ef835eb9c371f618c6958654a7d25a1df1d12c09a53ecf66f9209fb882a8542d,contiguous_substring,intermediate,1,9.414819878472224,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,selective,D0_r00,12.649627452256945,True
