confirm_id,design_id,condition,baseline_replicate,replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,final_population_hash
D0,A_high_2,selective,D0_r00,0,m016_affinity_rank_group,cf78b05538711825e0795152b13c3d2c15b5cd16f89c1995f7b006d8bc57c6a2,affinity_rank_group,intermediate,256,0.0928037951141164,0.3212466844411235,0,9.57359375,e30bcc0576eee143780cd765a78b36573ace89838503a1df354f157e6b600fa9
D0,A_high_2,selective,D0_r00,0,m017_balanced_random_group,624eb3be9bfd0f1a3005c27c92924e9e5a273a32f646217df21900a4492271ec,balanced_random_group,intermediate,512,0.1778139370044437,0.3212466844411235,0,10.713715277777776,d9f7f7bc619001db83f62d208d2d40870289d765c5b3fb08e4136f553b4a3ed8
D0,A_high_2,selective,D0_r00,0,m018_affinity_rank_group,24a6acb87a7364b0b1cbbe6fecc84df53e5243c78a06a6c6c4e7354b3e359435,affinity_rank_group,intermediate,512,0.1818622967413581,0.3212466844411235,0,10.600920138888888,97752f091ede538f075f71bd4d488cb2e18b2bf762935e9cf00da291380d3f8f
D0,A_high_2,selective,D0_r00,0,m019_contiguous_substring,16cfd655e57fba08a658c1d50e1fe5976b2f905eee09ec260833cfb2b49d6f38,contiguous_substring,intermediate,4,0.0009535707330871,0.3212466844411235,0,8.24896267361111,f7e8e4af7e9aa37066d3607f4efa864fbd05763333fcca30b3568ac8cd1bd0dd
D0,A_high_2,selective,D0_r00,0,m020_contiguous_substring,6fb076d21f3b26febc2e6a328628b3ea581ce0709de4263bbe675d61bdb74942,contiguous_substring,intermediate,4,0.0009631325985311,0.3212466844411235,0,8.276727430555557,0b0af2ab09b2c9985bb40844fafb81bb9557d7d7bf564c250b7084fdd84f07ba
D0,A_high_2,selective,D0_r00,0,m021_contiguous_substring,3ac98b3bd2edbbfc3b4339ca0066047ccba8e1cfa0ce798acbd27bab5b87d8af,contiguous_substring,intermediate,4,0.0010441660808849,0.3212466844411235,0,8.246519097222222,ea53fc0b6c639da09a034a326da0e9c3273ea7872733ee68c7535d396d60d060
D0,A_high_2,selective,D0_r00,0,m022_contiguous_substring,fc015e86e4e7f2c734c05fb1135856a6186a7b6e6f3079acc6d6c6e4aa7442e4,contiguous_substring,intermediate,4,0.0009394760290906,0.3212466844411235,0,8.223793402777778,57113a99cc79cc1fe950464887eff626a512fa1ed799eb805f2db4d14556939a
D0,A_high_2,selective,D0_r00,0,m023_contiguous_substring,6d8bb74bcdeefe62988bcebfe3cdb7110ea14648c3393721f4a4095032ddf61b,contiguous_substring,intermediate,4,0.0007095376993485,0.3212466844411235,0,8.237248263888887,b9f26cf014bcca61b16e4541c85e2d29397aaf392db40b5b245d5851d5987cc4
D0,A_high_2,selective,D0_r00,0,m024_contiguous_substring,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,contiguous_substring,intermediate,16,0.0048396942346229,0.3212466844411235,0,8.336119791666667,725b704bb1883cae0bcc2cc0bab2b9d7767be8c93692e600b5a09a60fb51a658
D0,A_high_2,selective,D0_r00,0,m025_contiguous_substring,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,contiguous_substring,intermediate,16,0.0053234797477012,0.3212466844411235,0,8.296258680555558,a12a2a7d16f4e73c9a32aa3a2224493c93ebe666da443fab032eb48b01f82f97
